algoritmo,size_mb,num_objects,avg_ratio,avg_comp_s,std_comp_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s,avg_decomp_s,std_decomp_s
ZLIB,1,10,148.86x,0.006448,0.001233,0.001904,0.000252,0.000360,0.000328,0.001371,0.000715
ZLIB,10,10,154.49x,0.058908,0.002548,0.017332,0.000238,0.003512,0.002520,0.014042,0.005949
ZLIB,50,10,158.47x,0.279192,0.048256,0.124290,0.088491,0.052566,0.006701,0.109711,0.016557
ZLIB,100,10,158.75x,0.548262,0.091733,0.238908,0.118825,0.102219,0.019703,0.223561,0.051962
BZ2,1,10,1191.56x,0.253705,0.027584,0.001259,0.000318,0.001456,0.004028,0.011246,0.003059
BZ2,10,10,1878.50x,2.740345,0.116306,0.011715,0.001112,0.002072,0.000183,0.115207,0.005386
BZ2,50,10,1917.59x,14.431828,2.319074,0.059713,0.008968,0.035348,0.004217,0.653815,0.096101
BZ2,100,10,1930.23x,49.860968,28.781050,0.192077,0.111213,0.099046,0.038762,1.753955,0.760865
LZMA,1,10,2545.09x,0.027456,0.002724,0.001199,0.000062,0.001227,0.003121,0.002992,0.002914
LZMA,10,10,5851.43x,0.197901,0.003548,0.010803,0.000719,0.001910,0.000349,0.005004,0.000652
LZMA,50,10,6643.28x,0.851459,0.012118,0.057312,0.001798,0.032142,0.001174,0.069355,0.007984
LZMA,100,10,6758.03x,1.762460,0.180411,0.127316,0.011930,0.076533,0.011004,0.163791,0.026984
LZ4,1,10,60.91x,0.000776,0.002078,0.001194,0.000044,0.001180,0.002994,0.001302,0.003355
LZ4,10,10,61.39x,0.001484,0.000246,0.011857,0.000492,0.002674,0.001029,0.004569,0.003994
LZ4,50,10,61.50x,0.008109,0.000874,0.058955,0.002303,0.035453,0.001930,0.064734,0.003775
LZ4,100,10,61.73x,0.013973,0.001053,0.114582,0.003032,0.068612,0.002136,0.129831,0.003969
ZSTD,1,10,104.13x,0.000455,0.000306,0.001148,0.000081,0.001291,0.003395,0.001228,0.003419
ZSTD,10,10,535.21x,0.002212,0.000226,0.011171,0.000767,0.002093,0.000306,0.001519,0.001319
ZSTD,50,10,2237.49x,0.009686,0.001350,0.056614,0.002808,0.034305,0.001986,0.028259,0.001336
ZSTD,100,10,3714.14x,0.018124,0.000773,0.202131,0.124794,0.068677,0.002389,0.058166,0.002561
