algoritmo,size_mb,num_objects,avg_time_seconds,std_dev_seconds,throughput_mb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
SHA256,1,10,0.000592,0.000024,1688.09,0.001764,0.000194,0.000641,0.000403
SHA256,10,10,0.005782,0.000276,1729.42,0.016852,0.001620,0.005366,0.002912
SHA256,50,10,0.030439,0.002541,1642.64,0.081757,0.005993,0.050081,0.004206
SHA256,100,10,0.061901,0.004200,1615.47,0.284245,0.136936,0.107069,0.012003
SHA3_256,1,10,0.002703,0.000450,370.00,0.001693,0.000184,0.001951,0.005061
SHA3_256,10,10,0.037787,0.004853,264.64,0.017892,0.001691,0.003865,0.001956
SHA3_256,50,10,0.163051,0.033512,306.65,0.082985,0.009956,0.053069,0.003237
SHA3_256,100,10,0.330098,0.046798,302.94,0.164547,0.022303,0.103405,0.010301
BLAKE3,1,10,0.000577,0.000329,1732.64,0.002011,0.000177,0.002439,0.006298
BLAKE3,10,10,0.003935,0.000472,2541.27,0.017036,0.001594,0.003811,0.002279
BLAKE3,50,10,0.019166,0.002387,2608.84,0.078083,0.008344,0.050739,0.003986
BLAKE3,100,10,0.037542,0.003881,2663.66,0.205850,0.102459,0.104945,0.011633
HMAC_SHA256,1,10,0.000636,0.000016,1571.51,0.001654,0.000148,0.001859,0.004909
HMAC_SHA256,10,10,0.005542,0.000121,1804.48,0.013523,0.001056,0.003047,0.001323
HMAC_SHA256,50,10,0.030108,0.002671,1660.67,0.105436,0.087026,0.051554,0.013466
HMAC_SHA256,100,10,0.059382,0.004108,1684.02,0.157114,0.008528,0.095932,0.008851
