algoritmo,size_mb,k_datos,m_paridad,num_objects,avg_encoding_s,std_encoding_s,avg_decoding_s,std_decoding_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
RS,1,4,2,10,0.001485,0.000458,0.000260,0.000246,0.001291,0.000182,0.000435,0.000340
RS,1,8,4,10,0.002414,0.000102,0.000223,0.000163,0.001383,0.000252,0.000279,0.000088
RS,1,10,4,10,0.003053,0.000433,0.000221,0.000159,0.001437,0.000126,0.000315,0.000142
RS,10,4,2,10,0.014161,0.001990,0.003483,0.002002,0.011575,0.000804,0.003890,0.002132
RS,10,8,4,10,0.023578,0.001141,0.001992,0.001365,0.011590,0.000504,0.002155,0.000167
RS,10,10,4,10,0.023191,0.001043,0.002966,0.001962,0.011483,0.000804,0.001940,0.000149
RS,50,4,2,10,0.080677,0.017774,0.024595,0.012301,0.061704,0.008475,0.028591,0.010388
RS,50,8,4,10,0.127161,0.008985,0.029848,0.010439,0.062028,0.012698,0.032550,0.010547
RS,50,10,4,10,0.118358,0.008747,0.028633,0.010383,0.066528,0.012885,0.030819,0.009083
RS,100,4,2,10,0.154150,0.031511,0.050870,0.022933,0.304020,0.163056,0.058491,0.022780
RS,100,8,4,10,0.241664,0.017970,0.068988,0.003726,0.294068,0.141438,0.069918,0.015063
RS,100,10,4,10,0.233328,0.014079,0.069784,0.003192,0.317288,0.255531,0.077227,0.010921
