algoritmo,size_kb,num_objects,avg_ratio,avg_comp_s,std_comp_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s,avg_decomp_s,std_decomp_s
ZLIB,1,31,7.70x,0.000048,0.000007,0.000037,0.000008,0.000010,0.000003,0.000007,0.000001
ZLIB,10,31,49.00x,0.000072,0.000004,0.000040,0.000003,0.000010,0.000001,0.000014,0.000009
ZLIB,50,31,102.61x,0.000188,0.000016,0.000057,0.000003,0.000017,0.000017,0.000042,0.000004
ZLIB,100,31,121.62x,0.000362,0.000018,0.000084,0.000006,0.000022,0.000010,0.000086,0.000013
ZLIB,500,31,145.17x,0.001871,0.000078,0.000300,0.000019,0.000108,0.000056,0.000391,0.000064
ZLIB,1000,31,148.75x,0.003813,0.000164,0.000591,0.000019,0.000182,0.000056,0.000790,0.000104
BZ2,1,31,4.23x,0.000122,0.000009,0.000036,0.000005,0.000010,0.000003,0.000037,0.000039
BZ2,10,31,33.46x,0.001794,0.000016,0.000039,0.000002,0.000011,0.000002,0.000097,0.000008
BZ2,50,31,137.27x,0.007278,0.000048,0.000061,0.000005,0.000013,0.000001,0.000444,0.000011
BZ2,100,31,265.28x,0.014781,0.000118,0.000088,0.000006,0.000019,0.000002,0.000870,0.000027
BZ2,500,31,1135.25x,0.087838,0.000621,0.000332,0.000012,0.000074,0.000012,0.004637,0.000249
BZ2,1000,31,1171.62x,0.219358,0.003128,0.000629,0.000050,0.000161,0.000018,0.010201,0.000467
LZMA,1,31,5.12x,0.002714,0.001242,0.000037,0.000008,0.000013,0.000003,0.000263,0.000485
LZMA,10,31,43.39x,0.002457,0.000988,0.000047,0.000005,0.000013,0.000002,0.000222,0.000439
LZMA,50,31,191.04x,0.003817,0.001187,0.000067,0.000007,0.000015,0.000002,0.000371,0.000539
LZMA,100,31,365.71x,0.004486,0.001108,0.000096,0.000007,0.000020,0.000003,0.000329,0.000503
LZMA,500,31,1523.81x,0.012809,0.001356,0.000326,0.000049,0.000081,0.000016,0.000623,0.000595
LZMA,1000,31,2509.80x,0.024908,0.001605,0.000680,0.000131,0.000179,0.000034,0.001256,0.000759
LZ4,1,31,6.13x,0.000006,0.000003,0.000035,0.000007,0.000010,0.000003,0.000004,0.000002
LZ4,10,31,29.85x,0.000007,0.000001,0.000041,0.000002,0.000010,0.000002,0.000004,0.000001
LZ4,50,31,45.27x,0.000011,0.000008,0.000060,0.000007,0.000012,0.000001,0.000009,0.000001
LZ4,100,31,48.19x,0.000014,0.000005,0.000082,0.000003,0.000015,0.000003,0.000015,0.000001
LZ4,500,31,62.85x,0.000061,0.000009,0.000286,0.000013,0.000068,0.000013,0.000079,0.000007
LZ4,1000,31,61.07x,0.000115,0.000003,0.000591,0.000053,0.000160,0.000022,0.000189,0.000027
ZSTD,1,31,7.94x,0.000014,0.000006,0.000035,0.000005,0.000009,0.000002,0.000008,0.000002
ZSTD,10,31,40.00x,0.000020,0.000002,0.000041,0.000004,0.000010,0.000000,0.000009,0.000000
ZSTD,50,31,83.52x,0.000034,0.000007,0.000059,0.000003,0.000012,0.000001,0.000013,0.000001
ZSTD,100,31,94.29x,0.000051,0.000006,0.000083,0.000004,0.000016,0.000001,0.000018,0.000001
ZSTD,500,31,103.00x,0.000196,0.000013,0.000290,0.000011,0.000070,0.000017,0.000071,0.000006
ZSTD,1000,31,104.01x,0.000343,0.000032,0.000592,0.000023,0.000165,0.000021,0.000131,0.000008
