size_kb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
1,4,2,1,0.000088,0.000004,0.000071,0.000024,0.000189,0.000047
1,4,2,2,0.000021,0.000003,0.000038,0.000013,0.000178,0.000070
1,4,2,3,0.000022,0.000003,0.000039,0.000013,0.000178,0.000040
1,4,2,4,0.000022,0.000003,0.000037,0.000009,0.000191,0.000046
1,4,2,5,0.000018,0.000003,0.000037,0.000009,0.000173,0.000040
1,4,2,6,0.000019,0.000003,0.000039,0.000015,0.000177,0.000045
1,4,2,7,0.000019,0.000003,0.000036,0.000009,0.000177,0.000040
1,4,2,8,0.000022,0.000002,0.000037,0.000009,0.000177,0.000040
1,4,2,9,0.000018,0.000003,0.000043,0.000013,0.000206,0.000050
1,4,2,10,0.000022,0.000003,0.000037,0.000009,0.000173,0.000040
1,4,2,11,0.000026,0.000003,0.000038,0.000009,0.000183,0.000046
1,4,2,12,0.000018,0.000003,0.000036,0.000009,0.000173,0.000040
1,4,2,13,0.000021,0.000003,0.000038,0.000015,0.000176,0.000044
1,4,2,14,0.000018,0.000002,0.000037,0.000009,0.000176,0.000041
1,4,2,15,0.000023,0.000003,0.000037,0.000009,0.000176,0.000040
1,4,2,16,0.000022,0.000003,0.000037,0.000009,0.000175,0.000053
1,4,2,17,0.000018,0.000003,0.000037,0.000014,0.000175,0.000040
1,4,2,18,0.000022,0.000003,0.000036,0.000009,0.000236,0.000047
1,4,2,19,0.000024,0.000003,0.000037,0.000009,0.000176,0.000040
1,4,2,20,0.000019,0.000003,0.000037,0.000014,0.000176,0.000044
1,4,2,21,0.000021,0.000003,0.000036,0.000009,0.000174,0.000040
1,4,2,22,0.000022,0.000003,0.000039,0.000009,0.000190,0.000039
1,4,2,23,0.000022,0.000003,0.000036,0.000009,0.000212,0.000046
1,4,2,24,0.000022,0.000003,0.000037,0.000009,0.000173,0.000039
1,4,2,25,0.000019,0.000003,0.000036,0.000018,0.000177,0.000046
1,4,2,26,0.000018,0.000002,0.000036,0.000009,0.000172,0.000039
1,4,2,27,0.000026,0.000003,0.000037,0.000014,0.000176,0.000042
1,4,2,28,0.000022,0.000003,0.000036,0.000009,0.000177,0.000041
1,4,2,29,0.000018,0.000003,0.000037,0.000009,0.000178,0.000040
1,4,2,30,0.000021,0.000002,0.000037,0.000009,0.000194,0.000051
1,4,2,31,0.000019,0.000003,0.000037,0.000009,0.000175,0.000040
1,8,4,1,0.000033,0.000003,0.000042,0.000014,0.000349,0.000078
1,8,4,2,0.000030,0.000003,0.000038,0.000009,0.000349,0.000072
1,8,4,3,0.000033,0.000003,0.000038,0.000009,0.000347,0.000073
1,8,4,4,0.000030,0.000003,0.000038,0.000009,0.000348,0.000073
1,8,4,5,0.000030,0.000003,0.000038,0.000014,0.000349,0.000075
1,8,4,6,0.000032,0.000003,0.000038,0.000009,0.000347,0.000073
1,8,4,7,0.000028,0.000003,0.000038,0.000009,0.000349,0.000073
1,8,4,8,0.000029,0.000003,0.000038,0.000013,0.000345,0.000072
1,8,4,9,0.000032,0.000003,0.000038,0.000009,0.000347,0.000074
1,8,4,10,0.000028,0.000003,0.000038,0.000009,0.000349,0.000073
1,8,4,11,0.000028,0.000003,0.000038,0.000009,0.000358,0.000073
1,8,4,12,0.000029,0.000003,0.000039,0.000009,0.000349,0.000076
1,8,4,13,0.000028,0.000003,0.000038,0.000013,0.000359,0.000072
1,8,4,14,0.000028,0.000003,0.000034,0.000009,0.000348,0.000072
1,8,4,15,0.000029,0.000003,0.000038,0.000009,0.000351,0.000073
1,8,4,16,0.000029,0.000003,0.000038,0.000014,0.000349,0.000074
1,8,4,17,0.000034,0.000003,0.000038,0.000013,0.000351,0.000073
1,8,4,18,0.000029,0.000003,0.000038,0.000009,0.000348,0.000073
1,8,4,19,0.000028,0.000003,0.000038,0.000013,0.000344,0.000073
1,8,4,20,0.000029,0.000003,0.000038,0.000013,0.000347,0.000073
1,8,4,21,0.000029,0.000003,0.000037,0.000009,0.000347,0.000073
1,8,4,22,0.000029,0.000003,0.000040,0.000009,0.000345,0.000073
1,8,4,23,0.000028,0.000003,0.000040,0.000009,0.000343,0.000072
1,8,4,24,0.000032,0.000003,0.000038,0.000009,0.000343,0.000072
1,8,4,25,0.000033,0.000003,0.000037,0.000013,0.000345,0.000072
1,8,4,26,0.000028,0.000003,0.000038,0.000013,0.000348,0.000073
1,8,4,27,0.000029,0.000003,0.000038,0.000014,0.000343,0.000075
