algoritmo,size_kb,k_datos,m_paridad,num_objects,avg_encoding_s,std_encoding_s,avg_decoding_s,std_decoding_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
RS,1,4,2,31,0.000023,0.000012,0.000003,0.000000,0.000038,0.000006,0.000011,0.000004
RS,1,8,4,31,0.000030,0.000002,0.000003,0.000000,0.000038,0.000002,0.000011,0.000002
RS,1,10,4,31,0.000033,0.000003,0.000003,0.000000,0.000038,0.000002,0.000012,0.000003
RS,10,4,2,31,0.000034,0.000002,0.000003,0.000001,0.000043,0.000004,0.000010,0.000001
RS,10,8,4,31,0.000054,0.000002,0.000003,0.000001,0.000044,0.000002,0.000011,0.000002
RS,10,10,4,31,0.000062,0.000007,0.000003,0.000000,0.000044,0.000002,0.000011,0.000002
RS,50,4,2,31,0.000081,0.000004,0.000007,0.000004,0.000063,0.000009,0.000014,0.000005
RS,50,8,4,31,0.000147,0.000011,0.000006,0.000004,0.000065,0.000008,0.000014,0.000001
RS,50,10,4,31,0.000152,0.000013,0.000006,0.000001,0.000063,0.000002,0.000014,0.000001
RS,100,4,2,31,0.000143,0.000010,0.000019,0.000015,0.000088,0.000005,0.000020,0.000008
RS,100,8,4,31,0.000265,0.000010,0.000019,0.000010,0.000094,0.000019,0.000020,0.000005
RS,100,10,4,31,0.000266,0.000009,0.000019,0.000011,0.000090,0.000009,0.000023,0.000015
RS,500,4,2,31,0.000658,0.000030,0.000066,0.000042,0.000306,0.000012,0.000104,0.000041
RS,500,8,4,31,0.001198,0.000025,0.000056,0.000032,0.000308,0.000007,0.000095,0.000022
RS,500,10,4,31,0.001201,0.000018,0.000063,0.000035,0.000310,0.000009,0.000094,0.000021
RS,1000,4,2,31,0.001249,0.000027,0.000158,0.000095,0.000570,0.000019,0.000209,0.000083
RS,1000,8,4,31,0.002341,0.000018,0.000123,0.000068,0.000567,0.000008,0.000179,0.000032
RS,1000,10,4,31,0.002338,0.000029,0.000118,0.000059,0.000576,0.000014,0.000187,0.000041
