algorithm,size_kb,key_bits,num_objects,avg_encryption_s,std_encryption_s,avg_decryption_s,std_decryption_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
AES,1,128,31,0.000007,0.000005,0.000007,0.000003,0.000040,0.000012,0.000013,0.000007
AES,1,256,31,0.000007,0.000003,0.000007,0.000002,0.000037,0.000008,0.000012,0.000005
AES,10,128,31,0.000028,0.000024,0.000024,0.000007,0.000046,0.000011,0.000015,0.000016
AES,10,256,31,0.000025,0.000006,0.000026,0.000005,0.000049,0.000031,0.000013,0.000009
AES,50,128,31,0.000101,0.000029,0.000104,0.000030,0.000071,0.000032,0.000019,0.000011
AES,50,256,31,0.000109,0.000024,0.000116,0.000032,0.000068,0.000025,0.000015,0.000006
AES,100,128,31,0.000198,0.000057,0.000203,0.000041,0.000091,0.000018,0.000020,0.000007
AES,100,256,31,0.000218,0.000048,0.000232,0.000057,0.000093,0.000032,0.000024,0.000024
AES,500,128,31,0.000907,0.000120,0.000971,0.000164,0.000292,0.000011,0.000090,0.000036
AES,500,256,31,0.001012,0.000040,0.001064,0.000075,0.000294,0.000010,0.000078,0.000003
AES,1000,128,31,0.001772,0.000099,0.001910,0.000153,0.000554,0.000023,0.000180,0.000075
AES,1000,256,31,0.002020,0.000049,0.002173,0.000167,0.000557,0.000033,0.000157,0.000006
CHACHA20,1,256,31,0.000007,0.000006,0.000004,0.000001,0.000034,0.000004,0.000009,0.000002
CHACHA20,10,256,31,0.000028,0.000007,0.000024,0.000000,0.000040,0.000003,0.000011,0.000001
CHACHA20,50,256,31,0.000118,0.000005,0.000112,0.000002,0.000059,0.000003,0.000013,0.000001
CHACHA20,100,256,31,0.000234,0.000008,0.000222,0.000003,0.000086,0.000009,0.000017,0.000001
CHACHA20,500,256,31,0.001165,0.000023,0.001120,0.000019,0.000302,0.000022,0.000083,0.000019
CHACHA20,1000,256,31,0.002385,0.000261,0.002297,0.000090,0.000555,0.000028,0.000179,0.000047
