algoritmo,size_kb,object_id,time_seconds,tiempo_io_write_orig_s,tiempo_io_read_orig_s
SHA256,1,1,0.000020,0.000059,0.000031
SHA256,1,2,0.000004,0.000033,0.000016
SHA256,1,3,0.000004,0.000037,0.000014
SHA256,1,4,0.000004,0.000045,0.000013
SHA256,1,5,0.000004,0.000043,0.000014
SHA256,1,6,0.000007,0.000033,0.000009
SHA256,1,7,0.000004,0.000042,0.000014
SHA256,1,8,0.000006,0.000031,0.000009
SHA256,1,9,0.000003,0.000035,0.000022
SHA256,1,10,0.000006,0.000035,0.000008
SHA256,1,11,0.000006,0.000031,0.000009
SHA256,1,12,0.000003,0.000041,0.000013
SHA256,1,13,0.000006,0.000031,0.000008
SHA256,1,14,0.000003,0.000033,0.000014
SHA256,1,15,0.000006,0.000031,0.000009
SHA256,1,16,0.000006,0.000031,0.000009
SHA256,1,17,0.000006,0.000031,0.000009
SHA256,1,18,0.000006,0.000035,0.000009
SHA256,1,19,0.000003,0.000034,0.000018
SHA256,1,20,0.000006,0.000038,0.000009
SHA256,1,21,0.000006,0.000035,0.000009
SHA256,1,22,0.000006,0.000034,0.000008
SHA256,1,23,0.000006,0.000035,0.000009
SHA256,1,24,0.000006,0.000035,0.000009
SHA256,1,25,0.000006,0.000034,0.000009
SHA256,1,26,0.000003,0.000035,0.000017
SHA256,1,27,0.000006,0.000031,0.000009
SHA256,1,28,0.000006,0.000035,0.000008
SHA256,1,29,0.000006,0.000035,0.000009
SHA256,1,30,0.000006,0.000035,0.000009
SHA256,1,31,0.000006,0.000043,0.000009
SHA256,10,1,0.000013,0.000045,0.000011
SHA256,10,2,0.000011,0.000038,0.000010
SHA256,10,3,0.000011,0.000041,0.000010
SHA256,10,4,0.000011,0.000040,0.000010
SHA256,10,5,0.000011,0.000040,0.000010
SHA256,10,6,0.000011,0.000038,0.000010
SHA256,10,7,0.000011,0.000036,0.000010
SHA256,10,8,0.000011,0.000037,0.000010
SHA256,10,9,0.000011,0.000035,0.000010
SHA256,10,10,0.000012,0.000037,0.000010
SHA256,10,11,0.000011,0.000036,0.000010
SHA256,10,12,0.000011,0.000037,0.000011
SHA256,10,13,0.000011,0.000041,0.000010
SHA256,10,14,0.000011,0.000040,0.000010
SHA256,10,15,0.000011,0.000040,0.000010
SHA256,10,16,0.000011,0.000041,0.000010
SHA256,10,17,0.000011,0.000035,0.000009
SHA256,10,18,0.000011,0.000036,0.000010
SHA256,10,19,0.000011,0.000038,0.000011
SHA256,10,20,0.000011,0.000042,0.000010
SHA256,10,21,0.000011,0.000036,0.000010
SHA256,10,22,0.000011,0.000040,0.000010
SHA256,10,23,0.000011,0.000041,0.000010
SHA256,10,24,0.000011,0.000040,0.000010
SHA256,10,25,0.000011,0.000040,0.000010
SHA256,10,26,0.000011,0.000062,0.000011
SHA256,10,27,0.000011,0.000042,0.000010
SHA256,10,28,0.000011,0.000040,0.000009
SHA256,10,29,0.000011,0.000044,0.000010
SHA256,10,30,0.000011,0.000045,0.000010
SHA256,10,31,0.000011,0.000043,0.000010
SHA256,50,1,0.000029,0.000065,0.000038
SHA256,50,2,0.000033,0.000062,0.000013
SHA256,50,3,0.000032,0.000058,0.000013
SHA256,50,4,0.000033,0.000058,0.000013
SHA256,50,5,0.000032,0.000057,0.000013
SHA256,50,6,0.000032,0.000058,0.000013
SHA256,50,7,0.000032,0.000056,0.000014
SHA256,50,8,0.000032,0.000062,0.000013
SHA256,50,9,0.000032,0.000057,0.000013
SHA256,50,10,0.000032,0.000057,0.000013
SHA256,50,11,0.000033,0.000060,0.000015
SHA256,50,12,0.000032,0.000057,0.000013
SHA256,50,13,0.000032,0.000057,0.000014
SHA256,50,14,0.000032,0.000062,0.000014
SHA256,50,15,0.000032,0.000058,0.000013
SHA256,50,16,0.000032,0.000057,0.000013
SHA256,50,17,0.000032,0.000057,0.000013
SHA256,50,18,0.000033,0.000058,0.000014
SHA256,50,19,0.000032,0.000057,0.000014
SHA256,50,20,0.000032,0.000058,0.000013
SHA256,50,21,0.000032,0.000062,0.000014
SHA256,50,22,0.000032,0.000058,0.000013
SHA256,50,23,0.000032,0.000057,0.000013
SHA256,50,24,0.000032,0.000057,0.000013
SHA256,50,25,0.000034,0.000068,0.000016
SHA256,50,26,0.000032,0.000058,0.000013
SHA256,50,27,0.000032,0.000059,0.000013
SHA256,50,28,0.000032,0.000061,0.000015
SHA256,50,29,0.000032,0.000054,0.000013
SHA256,50,30,0.000032,0.000058,0.000013
SHA256,50,31,0.000032,0.000058,0.000013
SHA256,100,1,0.000055,0.000102,0.000053
SHA256,100,2,0.000059,0.000087,0.000029
SHA256,100,3,0.000058,0.000081,0.000017
SHA256,100,4,0.000059,0.000095,0.000019
SHA256,100,5,0.000058,0.000081,0.000018
SHA256,100,6,0.000063,0.000080,0.000018
SHA256,100,7,0.000059,0.000081,0.000017
SHA256,100,8,0.000058,0.000080,0.000018
SHA256,100,9,0.000058,0.000082,0.000018
SHA256,100,10,0.000059,0.000081,0.000017
SHA256,100,11,0.000063,0.000082,0.000019
SHA256,100,12,0.000059,0.000081,0.000018
SHA256,100,13,0.000059,0.000083,0.000018
SHA256,100,14,0.000059,0.000082,0.000017
SHA256,100,15,0.000059,0.000083,0.000018
SHA256,100,16,0.000059,0.000079,0.000017
SHA256,100,17,0.000064,0.000080,0.000017
SHA256,100,18,0.000059,0.000081,0.000018
