algoritmo,size_kb,num_objects,avg_time_seconds,std_dev_seconds,throughput_kb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
SHA256,1,31,0.000006,0.000003,178540.57,0.000036,0.000006,0.000012,0.000005
SHA256,10,31,0.000011,0.000000,891793.77,0.000040,0.000005,0.000010,0.000000
SHA256,50,31,0.000032,0.000001,1556507.76,0.000059,0.000003,0.000014,0.000005
SHA256,100,31,0.000059,0.000002,1692377.15,0.000082,0.000005,0.000020,0.000007
SHA256,500,31,0.000273,0.000004,1830929.38,0.000272,0.000013,0.000084,0.000043
SHA256,1000,31,0.000542,0.000004,1845228.21,0.000543,0.000021,0.000185,0.000084
SHA3_256,1,31,0.000008,0.000004,126865.64,0.000036,0.000005,0.000015,0.000032
SHA3_256,10,31,0.000028,0.000001,358972.87,0.000040,0.000002,0.000010,0.000002
SHA3_256,50,31,0.000117,0.000006,427688.14,0.000059,0.000003,0.000013,0.000001
SHA3_256,100,31,0.000228,0.000004,438653.65,0.000081,0.000004,0.000019,0.000006
SHA3_256,500,31,0.001112,0.000015,449656.54,0.000273,0.000012,0.000073,0.000020
SHA3_256,1000,31,0.002212,0.000037,451998.80,0.000545,0.000016,0.000165,0.000037
BLAKE3,1,31,0.000007,0.000003,142872.94,0.000034,0.000004,0.000016,0.000032
BLAKE3,10,31,0.000010,0.000002,973229.90,0.000040,0.000004,0.000010,0.000001
BLAKE3,50,31,0.000020,0.000001,2553727.12,0.000058,0.000002,0.000013,0.000001
BLAKE3,100,31,0.000031,0.000001,3175832.53,0.000082,0.000003,0.000019,0.000007
BLAKE3,500,31,0.000131,0.000002,3825691.62,0.000283,0.000011,0.000077,0.000020
BLAKE3,1000,31,0.000252,0.000006,3972363.12,0.000541,0.000012,0.000166,0.000037
HMAC_SHA256,1,31,0.000009,0.000004,108542.28,0.000037,0.000004,0.000016,0.000032
HMAC_SHA256,10,31,0.000014,0.000001,696699.67,0.000040,0.000003,0.000010,0.000001
HMAC_SHA256,50,31,0.000036,0.000001,1397873.61,0.000060,0.000008,0.000014,0.000002
HMAC_SHA256,100,31,0.000063,0.000002,1582321.29,0.000081,0.000005,0.000020,0.000006
HMAC_SHA256,500,31,0.000280,0.000004,1787377.29,0.000270,0.000007,0.000074,0.000021
HMAC_SHA256,1000,31,0.000553,0.000005,1809918.40,0.000538,0.000013,0.000166,0.000036
