algoritmo,size_kb,object_id,ratio_compresion,tiempo_compresion_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_comp_s,tiempo_io_read_comp_s,tiempo_descompresion_s
ZLIB,1,1,7.70x,0.000055,0.000024,0.000012,0.000020,0.000010,0.000014
ZLIB,1,2,7.70x,0.000016,0.000029,0.000013,0.000018,0.000011,0.000005
ZLIB,1,3,7.70x,0.000015,0.000020,0.000010,0.000017,0.000009,0.000005
ZLIB,1,4,7.70x,0.000013,0.000022,0.000011,0.000017,0.000009,0.000005
ZLIB,1,5,7.70x,0.000013,0.000020,0.000011,0.000017,0.000010,0.000005
ZLIB,1,6,7.70x,0.000013,0.000020,0.000010,0.000017,0.000009,0.000004
ZLIB,1,7,7.70x,0.000012,0.000019,0.000010,0.000028,0.000012,0.000005
ZLIB,1,8,7.70x,0.000012,0.000020,0.000010,0.000017,0.000009,0.000004
ZLIB,1,9,7.70x,0.000013,0.000020,0.000010,0.000017,0.000009,0.000004
ZLIB,1,10,7.70x,0.000013,0.000020,0.000011,0.000016,0.000009,0.000004
ZLIB,1,11,7.70x,0.000012,0.000019,0.000011,0.000018,0.000010,0.000004
ZLIB,1,12,7.70x,0.000012,0.000020,0.000011,0.000017,0.000009,0.000004
ZLIB,1,13,7.70x,0.000012,0.000020,0.000012,0.000017,0.000009,0.000004
ZLIB,1,14,7.70x,0.000012,0.000019,0.000010,0.000016,0.000009,0.000004
ZLIB,1,15,7.70x,0.000012,0.000019,0.000010,0.000017,0.000009,0.000004
ZLIB,1,16,7.70x,0.000012,0.000021,0.000011,0.000017,0.000009,0.000004
ZLIB,1,17,7.70x,0.000012,0.000019,0.000010,0.000016,0.000009,0.000004
ZLIB,1,18,7.70x,0.000012,0.000021,0.000010,0.000017,0.000017,0.000004
ZLIB,1,19,7.70x,0.000012,0.000020,0.000010,0.000016,0.000009,0.000004
ZLIB,1,20,7.70x,0.000012,0.000019,0.000010,0.000016,0.000010,0.000004
ZLIB,1,21,7.70x,0.000012,0.000019,0.000010,0.000017,0.000009,0.000004
ZLIB,1,22,7.70x,0.000012,0.000019,0.000010,0.000017,0.000010,0.000004
ZLIB,1,23,7.70x,0.000012,0.000019,0.000013,0.000017,0.000009,0.000004
ZLIB,1,24,7.70x,0.000012,0.000027,0.000012,0.000016,0.000010,0.000004
ZLIB,1,25,7.70x,0.000013,0.000019,0.000010,0.000018,0.000009,0.000004
ZLIB,1,26,7.70x,0.000012,0.000019,0.000010,0.000016,0.000009,0.000004
ZLIB,1,27,7.70x,0.000012,0.000019,0.000010,0.000016,0.000009,0.000004
ZLIB,1,28,7.70x,0.000012,0.000019,0.000010,0.000016,0.000009,0.000004
ZLIB,1,29,7.70x,0.000012,0.000019,0.000010,0.000016,0.000009,0.000004
ZLIB,1,30,7.70x,0.000012,0.000019,0.000010,0.000016,0.000011,0.000004
ZLIB,1,31,7.70x,0.000012,0.000020,0.000011,0.000017,0.000010,0.000004
ZLIB,10,1,49.00x,0.000076,0.000025,0.000013,0.000019,0.000011,0.000011
ZLIB,10,2,49.00x,0.000060,0.000024,0.000011,0.000018,0.000012,0.000010
ZLIB,10,3,49.00x,0.000048,0.000024,0.000012,0.000017,0.000009,0.000010
ZLIB,10,4,49.00x,0.000047,0.000023,0.000011,0.000018,0.000009,0.000010
ZLIB,10,5,49.00x,0.000046,0.000023,0.000011,0.000017,0.000009,0.000010
ZLIB,10,6,49.00x,0.000046,0.000023,0.000013,0.000017,0.000009,0.000010
ZLIB,10,7,49.00x,0.000047,0.000023,0.000011,0.000017,0.000009,0.000010
ZLIB,10,8,49.00x,0.000047,0.000023,0.000011,0.000017,0.000009,0.000010
ZLIB,10,9,49.00x,0.000046,0.000023,0.000011,0.000017,0.000009,0.000012
ZLIB,10,10,49.00x,0.000053,0.000023,0.000011,0.000018,0.000011,0.000010
ZLIB,10,11,49.00x,0.000047,0.000023,0.000011,0.000017,0.000009,0.000010
ZLIB,10,12,49.00x,0.000046,0.000023,0.000011,0.000017,0.000009,0.000010
ZLIB,10,13,49.00x,0.000045,0.000023,0.000012,0.000017,0.000010,0.000009
ZLIB,10,14,49.00x,0.000045,0.000023,0.000011,0.000017,0.000009,0.000009
ZLIB,10,15,49.00x,0.000046,0.000024,0.000011,0.000017,0.000009,0.000010
ZLIB,10,16,49.00x,0.000046,0.000023,0.000011,0.000017,0.000009,0.000010
ZLIB,10,17,49.00x,0.000046,0.000023,0.000011,0.000017,0.000009,0.000010
ZLIB,10,18,49.00x,0.000046,0.000023,0.000011,0.000017,0.000009,0.000009
ZLIB,10,19,49.00x,0.000045,0.000024,0.000019,0.000018,0.000011,0.000010
ZLIB,10,20,49.00x,0.000046,0.000023,0.000011,0.000017,0.000009,0.000010
ZLIB,10,21,49.00x,0.000047,0.000024,0.000012,0.000017,0.000009,0.000010
ZLIB,10,22,49.00x,0.000045,0.000023,0.000011,0.000017,0.000009,0.000009
ZLIB,10,23,49.00x,0.000045,0.000023,0.000011,0.000017,0.000009,0.000010
ZLIB,10,24,49.00x,0.000046,0.000023,0.000011,0.000017,0.000009,0.000009
ZLIB,10,25,49.00x,0.000045,0.000023,0.000011,0.000018,0.000009,0.000009
ZLIB,10,26,49.00x,0.000048,0.000023,0.000013,0.000018,0.000010,0.000009
ZLIB,10,27,49.00x,0.000045,0.000024,0.000011,0.000017,0.000010,0.000010
ZLIB,10,28,49.00x,0.000046,0.000031,0.000012,0.000017,0.000010,0.000010
ZLIB,10,29,49.00x,0.000045,0.000023,0.000011,0.000018,0.000009,0.000010
ZLIB,10,30,49.00x,0.000045,0.000023,0.000011,0.000017,0.000011,0.000009
ZLIB,10,31,49.00x,0.000045,0.000023,0.000011,0.000017,0.000009,0.000009
ZLIB,50,1,102.61x,0.000227,0.000039,0.000016,0.000020,0.000010,0.000038
ZLIB,50,2,102.61x,0.000245,0.000036,0.000016,0.000020,0.000012,0.000037
ZLIB,50,3,102.61x,0.000199,0.000036,0.000014,0.000020,0.000010,0.000036
ZLIB,50,4,102.61x,0.000194,0.000035,0.000014,0.000018,0.000009,0.000036
ZLIB,50,5,102.61x,0.000194,0.000034,0.000014,0.000018,0.000010,0.000036
ZLIB,50,6,102.61x,0.000212,0.000033,0.000013,0.000018,0.000009,0.000036
ZLIB,50,7,102.61x,0.000200,0.000034,0.000013,0.000019,0.000011,0.000035
ZLIB,50,8,102.61x,0.000194,0.000034,0.000014,0.000018,0.000010,0.000035
ZLIB,50,9,102.61x,0.000201,0.000033,0.000014,0.000018,0.000011,0.000036
ZLIB,50,10,102.61x,0.000193,0.000036,0.000014,0.000018,0.000009,0.000035
ZLIB,50,11,102.61x,0.000194,0.000034,0.000014,0.000020,0.000009,0.000035
ZLIB,50,12,102.61x,0.000195,0.000035,0.000014,0.000018,0.000009,0.000035
ZLIB,50,13,102.61x,0.000193,0.000034,0.000013,0.000017,0.000010,0.000036
ZLIB,50,14,102.61x,0.000202,0.000034,0.000014,0.000019,0.000012,0.000036
ZLIB,50,15,102.61x,0.000195,0.000035,0.000014,0.000018,0.000009,0.000035
ZLIB,50,16,102.61x,0.000200,0.000034,0.000013,0.000019,0.000011,0.000036
ZLIB,50,17,102.61x,0.000194,0.000034,0.000014,0.000018,0.000010,0.000036
ZLIB,50,18,102.61x,0.000193,0.000034,0.000014,0.000018,0.000009,0.000036
ZLIB,50,19,102.61x,0.000194,0.000035,0.000016,0.000020,0.000010,0.000036
ZLIB,50,20,102.61x,0.000193,0.000034,0.000013,0.000018,0.000010,0.000035
ZLIB,50,21,102.61x,0.000200,0.000034,0.000014,0.000019,0.000011,0.000036
ZLIB,50,22,102.61x,0.000193,0.000034,0.000014,0.000017,0.000009,0.000036
ZLIB,50,23,102.61x,0.000194,0.000034,0.000013,0.000017,0.000009,0.000042
ZLIB,50,24,102.61x,0.000200,0.000035,0.000014,0.000018,0.000009,0.000035
ZLIB,50,25,102.61x,0.000194,0.000034,0.000014,0.000018,0.000009,0.000036
ZLIB,50,26,102.61x,0.000193,0.000041,0.000015,0.000019,0.000012,0.000036
ZLIB,50,27,102.61x,0.000193,0.000034,0.000014,0.000018,0.000010,0.000035
ZLIB,50,28,102.61x,0.000200,0.000034,0.000013,0.000019,0.000011,0.000036
ZLIB,50,29,102.61x,0.000194,0.000034,0.000013,0.000018,0.000009,0.000036
ZLIB,50,30,102.61x,0.000193,0.000034,0.000014,0.000018,0.000009,0.000036
ZLIB,50,31,102.61x,0.000194,0.000034,0.000014,0.000018,0.000009,0.000036
ZLIB,100,1,121.62x,0.000477,0.000054,0.000021,0.000021,0.000012,0.000072
ZLIB,100,2,121.62x,0.000457,0.000050,0.000019,0.000021,0.000011,0.000084
ZLIB,100,3,121.62x,0.000449,0.000050,0.000019,0.000019,0.000010,0.000075
ZLIB,100,4,121.62x,0.000447,0.000050,0.000019,0.000019,0.000009,0.000067
ZLIB,100,5,121.62x,0.000459,0.000049,0.000019,0.000020,0.000011,0.000067
ZLIB,100,6,121.62x,0.000462,0.000049,0.000019,0.000021,0.000011,0.000068
ZLIB,100,7,121.62x,0.000449,0.000050,0.000019,0.000019,0.000011,0.000074
ZLIB,100,8,121.62x,0.000447,0.000049,0.000019,0.000018,0.000009,0.000067
ZLIB,100,9,121.62x,0.000457,0.000050,0.000019,0.000019,0.000011,0.000067
ZLIB,100,10,121.62x,0.000452,0.000048,0.000019,0.000019,0.000010,0.000068
ZLIB,100,11,121.62x,0.000449,0.000049,0.000019,0.000018,0.000009,0.000075
ZLIB,100,12,121.62x,0.000448,0.000049,0.000019,0.000020,0.000010,0.000067
ZLIB,100,13,121.62x,0.000460,0.000048,0.000019,0.000019,0.000011,0.000067
ZLIB,100,14,121.62x,0.000495,0.000049,0.000019,0.000019,0.000011,0.000068
ZLIB,100,15,121.62x,0.000487,0.000048,0.000019,0.000018,0.000009,0.000074
ZLIB,100,16,121.62x,0.000448,0.000049,0.000019,0.000019,0.000009,0.000067
ZLIB,100,17,121.62x,0.000448,0.000049,0.000026,0.000020,0.000011,0.000068
ZLIB,100,18,121.62x,0.000460,0.000049,0.000019,0.000020,0.000011,0.000067
ZLIB,100,19,121.62x,0.000447,0.000049,0.000019,0.000018,0.000009,0.000073
ZLIB,100,20,121.62x,0.000450,0.000050,0.000019,0.000019,0.000009,0.000067
ZLIB,100,21,121.62x,0.000457,0.000049,0.000019,0.000019,0.000011,0.000067
