algoritmo,size_kb,num_objects,avg_ratio,avg_comp_s,std_comp_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s,avg_decomp_s,std_decomp_s
ZLIB,1,31,7.70x,0.000014,0.000008,0.000020,0.000002,0.000011,0.000001,0.000005,0.000002
ZLIB,10,31,49.00x,0.000048,0.000006,0.000023,0.000001,0.000012,0.000002,0.000010,0.000001
ZLIB,50,31,102.61x,0.000199,0.000011,0.000035,0.000002,0.000014,0.000001,0.000036,0.000001
ZLIB,100,31,121.62x,0.000457,0.000013,0.000049,0.000001,0.000019,0.000001,0.000070,0.000004
ZLIB,500,31,145.17x,0.002401,0.000074,0.000172,0.000008,0.000045,0.000002,0.000427,0.000055
ZLIB,1000,31,148.75x,0.004810,0.000031,0.000327,0.000016,0.000156,0.000105,0.000905,0.000137
BZ2,1,31,4.23x,0.000106,0.000051,0.000020,0.000002,0.000011,0.000000,0.000024,0.000002
BZ2,10,31,33.46x,0.001723,0.000007,0.000024,0.000002,0.000012,0.000001,0.000073,0.000002
BZ2,50,31,137.27x,0.007210,0.000024,0.000035,0.000001,0.000014,0.000001,0.000325,0.000005
BZ2,100,31,265.28x,0.014975,0.000082,0.000050,0.000000,0.000020,0.000002,0.000672,0.000030
BZ2,500,31,1135.25x,0.086955,0.000657,0.000177,0.000007,0.000048,0.000005,0.003539,0.000280
BZ2,1000,31,1171.62x,0.177139,0.001012,0.000341,0.000019,0.000082,0.000011,0.007283,0.000412
LZMA,1,31,5.12x,0.000409,0.000392,0.000020,0.000002,0.000011,0.000002,0.000017,0.000005
LZMA,10,31,43.39x,0.000431,0.000012,0.000023,0.000001,0.000012,0.000001,0.000026,0.000002
LZMA,50,31,191.04x,0.001139,0.000020,0.000035,0.000001,0.000014,0.000001,0.000065,0.000002
LZMA,100,31,365.71x,0.002754,0.000533,0.000051,0.000002,0.000020,0.000001,0.000247,0.000184
LZMA,500,31,1523.81x,0.008968,0.000583,0.000181,0.000005,0.000047,0.000003,0.000695,0.000215
LZMA,1000,31,2509.80x,0.016309,0.000624,0.000365,0.000016,0.000094,0.000004,0.001164,0.000232
LZ4,1,31,6.13x,0.000004,0.000004,0.000019,0.000001,0.000010,0.000001,0.000026,0.000131
LZ4,10,31,29.85x,0.000004,0.000000,0.000022,0.000001,0.000011,0.000002,0.000003,0.000000
LZ4,50,31,45.27x,0.000009,0.000001,0.000035,0.000005,0.000014,0.000001,0.000009,0.000001
LZ4,100,31,48.19x,0.000013,0.000000,0.000049,0.000001,0.000019,0.000001,0.000014,0.000002
LZ4,500,31,62.85x,0.000050,0.000003,0.000173,0.000013,0.000046,0.000003,0.000061,0.000064
LZ4,1000,31,61.07x,0.000098,0.000003,0.000325,0.000017,0.000076,0.000007,0.000120,0.000129
ZSTD,1,31,7.94x,0.000056,0.000262,0.000019,0.000001,0.000010,0.000001,0.000018,0.000074
ZSTD,10,31,40.00x,0.000014,0.000000,0.000022,0.000001,0.000011,0.000002,0.000006,0.000000
ZSTD,50,31,83.52x,0.000024,0.000001,0.000034,0.000002,0.000014,0.000002,0.000011,0.000000
ZSTD,100,31,94.29x,0.000033,0.000003,0.000050,0.000005,0.000019,0.000001,0.000016,0.000000
ZSTD,500,31,103.00x,0.000127,0.000003,0.000171,0.000008,0.000045,0.000004,0.000061,0.000001
ZSTD,1000,31,104.01x,0.000253,0.000025,0.000320,0.000008,0.000074,0.000003,0.000118,0.000002
