size_kb,k_datos,m_paridad,object_id,tiempo_encoding_s,tiempo_decoding_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_frag_s,tiempo_io_read_frag_s
1,4,2,1,0.000089,0.000004,0.000023,0.000012,0.000101,0.000060
1,4,2,2,0.000026,0.000003,0.000022,0.000011,0.000090,0.000048
1,4,2,3,0.000020,0.000003,0.000021,0.000011,0.000098,0.000059
1,4,2,4,0.000020,0.000003,0.000021,0.000010,0.000088,0.000049
1,4,2,5,0.000020,0.000003,0.000021,0.000017,0.000091,0.000056
1,4,2,6,0.000019,0.000002,0.000020,0.000010,0.000090,0.000050
1,4,2,7,0.000020,0.000002,0.000020,0.000020,0.000088,0.000061
1,4,2,8,0.000019,0.000002,0.000020,0.000010,0.000088,0.000049
1,4,2,9,0.000019,0.000002,0.000028,0.000012,0.000086,0.000056
1,4,2,10,0.000019,0.000003,0.000020,0.000011,0.000088,0.000048
1,4,2,11,0.000019,0.000002,0.000021,0.000012,0.000087,0.000056
1,4,2,12,0.000019,0.000002,0.000020,0.000011,0.000089,0.000050
1,4,2,13,0.000019,0.000002,0.000020,0.000012,0.000089,0.000058
1,4,2,14,0.000019,0.000002,0.000020,0.000011,0.000088,0.000050
1,4,2,15,0.000019,0.000002,0.000020,0.000012,0.000088,0.000056
1,4,2,16,0.000021,0.000002,0.000020,0.000010,0.000088,0.000050
1,4,2,17,0.000018,0.000002,0.000020,0.000012,0.000088,0.000057
1,4,2,18,0.000019,0.000002,0.000020,0.000011,0.000089,0.000050
1,4,2,19,0.000019,0.000002,0.000020,0.000012,0.000089,0.000057
1,4,2,20,0.000018,0.000002,0.000020,0.000010,0.000086,0.000049
1,4,2,21,0.000019,0.000002,0.000020,0.000012,0.000088,0.000054
1,4,2,22,0.000018,0.000002,0.000020,0.000010,0.000087,0.000049
1,4,2,23,0.000018,0.000007,0.000020,0.000012,0.000087,0.000057
1,4,2,24,0.000018,0.000002,0.000020,0.000011,0.000088,0.000049
1,4,2,25,0.000018,0.000002,0.000020,0.000012,0.000090,0.000055
1,4,2,26,0.000019,0.000002,0.000020,0.000010,0.000088,0.000049
1,4,2,27,0.000020,0.000003,0.000020,0.000012,0.000089,0.000057
1,4,2,28,0.000019,0.000002,0.000020,0.000010,0.000090,0.000050
1,4,2,29,0.000018,0.000002,0.000020,0.000012,0.000090,0.000055
1,4,2,30,0.000018,0.000002,0.000020,0.000011,0.000087,0.000048
1,4,2,31,0.000020,0.000002,0.000020,0.000012,0.000090,0.000054
1,8,4,1,0.000034,0.000003,0.000022,0.000014,0.000181,0.000103
1,8,4,2,0.000033,0.000003,0.000022,0.000012,0.000170,0.000102
1,8,4,3,0.000031,0.000003,0.000021,0.000012,0.000166,0.000104
1,8,4,4,0.000030,0.000003,0.000020,0.000011,0.000167,0.000109
1,8,4,5,0.000030,0.000003,0.000022,0.000012,0.000168,0.000110
1,8,4,6,0.000037,0.000003,0.000020,0.000010,0.000170,0.000109
1,8,4,7,0.000029,0.000003,0.000020,0.000010,0.000177,0.000107
1,8,4,8,0.000031,0.000003,0.000020,0.000010,0.000174,0.000108
1,8,4,9,0.000029,0.000003,0.000020,0.000011,0.000167,0.000115
1,8,4,10,0.000028,0.000010,0.000020,0.000010,0.000168,0.000095
1,8,4,11,0.000029,0.000003,0.000020,0.000010,0.000167,0.000093
1,8,4,12,0.000029,0.000003,0.000020,0.000010,0.000166,0.000093
