algoritmo,size_kb,k_datos,m_paridad,num_objects,avg_encoding_s,std_encoding_s,avg_decoding_s,std_decoding_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
RS,1,4,2,31,0.000022,0.000013,0.000003,0.000001,0.000020,0.000002,0.000012,0.000002
RS,1,8,4,31,0.000030,0.000002,0.000003,0.000001,0.000020,0.000001,0.000011,0.000001
RS,1,10,4,31,0.000032,0.000002,0.000003,0.000000,0.000020,0.000001,0.000011,0.000001
RS,10,4,2,31,0.000030,0.000003,0.000003,0.000001,0.000023,0.000001,0.000011,0.000001
RS,10,8,4,31,0.000049,0.000001,0.000003,0.000001,0.000024,0.000001,0.000011,0.000001
RS,10,10,4,31,0.000053,0.000002,0.000003,0.000001,0.000024,0.000002,0.000012,0.000001
RS,50,4,2,31,0.000100,0.000155,0.000005,0.000004,0.000035,0.000002,0.000016,0.000006
RS,50,8,4,31,0.000132,0.000002,0.000004,0.000001,0.000036,0.000001,0.000015,0.000002
RS,50,10,4,31,0.000137,0.000005,0.000004,0.000000,0.000036,0.000005,0.000015,0.000001
RS,100,4,2,31,0.000125,0.000002,0.000006,0.000003,0.000051,0.000002,0.000020,0.000002
RS,100,8,4,31,0.000236,0.000004,0.000006,0.000001,0.000051,0.000002,0.000021,0.000002
RS,100,10,4,31,0.000240,0.000006,0.000006,0.000000,0.000051,0.000002,0.000021,0.000001
RS,500,4,2,31,0.000557,0.000032,0.000035,0.000049,0.000174,0.000006,0.000052,0.000033
RS,500,8,4,31,0.001074,0.000015,0.000025,0.000018,0.000175,0.000007,0.000046,0.000001
RS,500,10,4,31,0.001073,0.000004,0.000020,0.000001,0.000173,0.000002,0.000047,0.000002
RS,1000,4,2,31,0.001107,0.000075,0.000096,0.000126,0.000328,0.000007,0.000117,0.000094
RS,1000,8,4,31,0.002117,0.000028,0.000070,0.000093,0.000328,0.000008,0.000083,0.000022
RS,1000,10,4,31,0.002129,0.000046,0.000102,0.000117,0.000330,0.000008,0.000092,0.000051
