algorithm,size_kb,key_bits,num_objects,avg_encryption_s,std_encryption_s,avg_decryption_s,std_decryption_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
AES,1,128,31,0.000007,0.000004,0.000007,0.000002,0.000020,0.000001,0.000011,0.000001
AES,1,256,31,0.000006,0.000000,0.000007,0.000000,0.000020,0.000001,0.000010,0.000001
AES,10,128,31,0.000021,0.000005,0.000022,0.000003,0.000023,0.000001,0.000011,0.000002
AES,10,256,31,0.000023,0.000000,0.000025,0.000004,0.000023,0.000001,0.000011,0.000001
AES,50,128,31,0.000086,0.000004,0.000089,0.000004,0.000034,0.000001,0.000014,0.000003
AES,50,256,31,0.000099,0.000002,0.000102,0.000003,0.000035,0.000005,0.000014,0.000001
AES,100,128,31,0.000172,0.000007,0.000176,0.000008,0.000050,0.000002,0.000020,0.000005
AES,100,256,31,0.000196,0.000005,0.000201,0.000005,0.000050,0.000001,0.000020,0.000003
AES,500,128,31,0.000846,0.000048,0.000880,0.000059,0.000171,0.000002,0.000051,0.000029
AES,500,256,31,0.000965,0.000006,0.000991,0.000002,0.000170,0.000002,0.000046,0.000001
AES,1000,128,31,0.001689,0.000092,0.001844,0.000180,0.000324,0.000005,0.000096,0.000074
AES,1000,256,31,0.001968,0.000123,0.002161,0.000202,0.000321,0.000003,0.000076,0.000001
CHACHA20,1,256,31,0.000008,0.000008,0.000005,0.000000,0.000020,0.000001,0.000011,0.000003
CHACHA20,10,256,31,0.000028,0.000004,0.000026,0.000002,0.000023,0.000002,0.000011,0.000001
CHACHA20,50,256,31,0.000122,0.000006,0.000118,0.000003,0.000035,0.000001,0.000014,0.000001
CHACHA20,100,256,31,0.000237,0.000005,0.000233,0.000003,0.000050,0.000002,0.000020,0.000001
CHACHA20,500,256,31,0.001168,0.000007,0.001160,0.000003,0.000172,0.000003,0.000047,0.000002
CHACHA20,1000,256,31,0.002447,0.000131,0.002454,0.000151,0.000324,0.000009,0.000094,0.000071
