algoritmo,size_kb,num_objects,avg_time_seconds,std_dev_seconds,throughput_kb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
SHA256,1,31,0.000003,0.000001,362996.87,0.000020,0.000002,0.000010,0.000001
SHA256,10,31,0.000008,0.000000,1282518.51,0.000023,0.000002,0.000011,0.000001
SHA256,50,31,0.000031,0.000001,1634848.24,0.000036,0.000001,0.000016,0.000003
SHA256,100,31,0.000059,0.000000,1701077.55,0.000053,0.000002,0.000022,0.000006
SHA256,500,31,0.000286,0.000003,1748181.02,0.000191,0.000008,0.000062,0.000020
SHA256,1000,31,0.000570,0.000003,1753276.06,0.000322,0.000009,0.000087,0.000061
SHA3_256,1,31,0.000004,0.000001,223421.53,0.000019,0.000001,0.000016,0.000033
SHA3_256,10,31,0.000023,0.000001,426460.88,0.000022,0.000001,0.000011,0.000001
SHA3_256,50,31,0.000108,0.000002,463374.98,0.000035,0.000001,0.000015,0.000002
SHA3_256,100,31,0.000213,0.000003,469048.04,0.000053,0.000002,0.000023,0.000005
SHA3_256,500,31,0.001054,0.000003,474264.49,0.000173,0.000002,0.000052,0.000028
SHA3_256,1000,31,0.002106,0.000002,474939.92,0.000325,0.000003,0.000087,0.000056
BLAKE3,1,31,0.000004,0.000002,247874.95,0.000019,0.000002,0.000015,0.000031
BLAKE3,10,31,0.000021,0.000083,476848.05,0.000023,0.000002,0.000011,0.000001
BLAKE3,50,31,0.000015,0.000000,3368525.52,0.000035,0.000002,0.000014,0.000001
BLAKE3,100,31,0.000025,0.000000,3930472.98,0.000053,0.000002,0.000023,0.000007
BLAKE3,500,31,0.000113,0.000002,4410829.54,0.000173,0.000003,0.000052,0.000028
BLAKE3,1000,31,0.000222,0.000003,4510773.81,0.000325,0.000003,0.000088,0.000057
HMAC_SHA256,1,31,0.000006,0.000002,154800.32,0.000019,0.000001,0.000016,0.000032
HMAC_SHA256,10,31,0.000011,0.000000,895102.17,0.000022,0.000001,0.000011,0.000001
HMAC_SHA256,50,31,0.000034,0.000000,1476782.75,0.000034,0.000001,0.000014,0.000001
HMAC_SHA256,100,31,0.000063,0.000002,1591300.70,0.000053,0.000002,0.000023,0.000007
HMAC_SHA256,500,31,0.000292,0.000006,1710581.35,0.000179,0.000011,0.000056,0.000029
HMAC_SHA256,1000,31,0.000574,0.000004,1740917.82,0.000325,0.000004,0.000087,0.000055
