algoritmo,size_kb,num_objects,avg_ratio,avg_comp_s,std_comp_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s,avg_decomp_s,std_decomp_s
ZLIB,1,31,7.70x,0.000039,0.000007,0.000013,0.000002,0.000010,0.000001,0.000006,0.000002
ZLIB,10,31,49.00x,0.000091,0.000005,0.000013,0.000001,0.000010,0.000000,0.000013,0.000001
ZLIB,50,31,102.61x,0.000317,0.000007,0.000019,0.000003,0.000015,0.000003,0.000042,0.000003
ZLIB,100,31,121.62x,0.000636,0.000035,0.000024,0.000001,0.000020,0.000006,0.000084,0.000014
ZLIB,500,31,145.17x,0.003209,0.000016,0.000141,0.000017,0.000117,0.000034,0.000416,0.000032
ZLIB,1000,31,148.75x,0.006553,0.000380,0.000333,0.000054,0.000331,0.000046,0.000836,0.000057
BZ2,1,31,4.23x,0.000181,0.000018,0.000013,0.000003,0.000013,0.000023,0.000033,0.000003
BZ2,10,31,33.46x,0.003046,0.000014,0.000014,0.000000,0.000010,0.000000,0.000117,0.000004
BZ2,50,31,137.27x,0.013644,0.000025,0.000023,0.000002,0.000015,0.000001,0.000545,0.000008
BZ2,100,31,265.28x,0.028048,0.000111,0.000033,0.000003,0.000021,0.000001,0.001009,0.000019
BZ2,500,31,1135.25x,0.195064,0.004049,0.000212,0.000024,0.000144,0.000023,0.006481,0.000199
BZ2,1000,31,1171.62x,0.587872,0.003667,0.000355,0.000039,0.000338,0.000047,0.015757,0.000401
LZMA,1,31,5.12x,0.001962,0.000478,0.000014,0.000004,0.000010,0.000001,0.000021,0.000008
LZMA,10,31,43.39x,0.002683,0.000546,0.000014,0.000001,0.000010,0.000000,0.000193,0.000230
LZMA,50,31,191.04x,0.003647,0.000561,0.000022,0.000001,0.000014,0.000002,0.000222,0.000222
LZMA,100,31,365.71x,0.004925,0.000560,0.000034,0.000005,0.000021,0.000001,0.000304,0.000230
LZMA,500,31,1523.81x,0.015563,0.000705,0.000173,0.000023,0.000132,0.000018,0.001041,0.000280
LZMA,1000,31,2509.80x,0.029278,0.000656,0.000370,0.000029,0.000315,0.000041,0.002065,0.000343
LZ4,1,31,6.13x,0.000004,0.000006,0.000013,0.000004,0.000009,0.000001,0.000003,0.000001
LZ4,10,31,29.85x,0.000005,0.000000,0.000013,0.000001,0.000010,0.000000,0.000004,0.000001
LZ4,50,31,45.27x,0.000015,0.000000,0.000019,0.000008,0.000013,0.000000,0.000013,0.000003
LZ4,100,31,48.19x,0.000027,0.000000,0.000023,0.000002,0.000017,0.000000,0.000021,0.000003
LZ4,500,31,62.85x,0.000116,0.000008,0.000135,0.000020,0.000085,0.000014,0.000138,0.000020
LZ4,1000,31,61.07x,0.000227,0.000007,0.000315,0.000049,0.000289,0.000035,0.000338,0.000027
ZSTD,1,31,7.94x,0.000013,0.000013,0.000012,0.000002,0.000009,0.000001,0.000006,0.000005
ZSTD,10,31,40.00x,0.000022,0.000003,0.000013,0.000001,0.000010,0.000000,0.000007,0.000002
ZSTD,50,31,83.52x,0.000055,0.000006,0.000019,0.000001,0.000013,0.000000,0.000014,0.000001
ZSTD,100,31,94.29x,0.000075,0.000010,0.000026,0.000002,0.000017,0.000001,0.000026,0.000014
ZSTD,500,31,103.00x,0.000323,0.000010,0.000149,0.000010,0.000099,0.000008,0.000144,0.000023
ZSTD,1000,31,104.01x,0.000596,0.000011,0.000364,0.000016,0.000251,0.000022,0.000271,0.000012
