algoritmo,size_kb,k_datos,m_paridad,num_objects,avg_encoding_s,std_encoding_s,avg_decoding_s,std_decoding_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
RS,1,4,2,31,0.000023,0.000020,0.000002,0.000001,0.000013,0.000002,0.000010,0.000003
RS,1,8,4,31,0.000033,0.000002,0.000002,0.000000,0.000013,0.000001,0.000009,0.000000
RS,1,10,4,31,0.000039,0.000002,0.000003,0.000000,0.000013,0.000001,0.000009,0.000000
RS,10,4,2,31,0.000031,0.000001,0.000003,0.000000,0.000013,0.000001,0.000010,0.000000
RS,10,8,4,31,0.000054,0.000002,0.000003,0.000000,0.000013,0.000001,0.000010,0.000000
RS,10,10,4,31,0.000060,0.000002,0.000003,0.000000,0.000014,0.000001,0.000010,0.000000
RS,50,4,2,31,0.000082,0.000028,0.000008,0.000006,0.000020,0.000003,0.000015,0.000003
RS,50,8,4,31,0.000142,0.000009,0.000007,0.000003,0.000019,0.000001,0.000013,0.000001
RS,50,10,4,31,0.000150,0.000015,0.000006,0.000000,0.000019,0.000001,0.000013,0.000000
RS,100,4,2,31,0.000131,0.000003,0.000013,0.000006,0.000024,0.000001,0.000018,0.000003
RS,100,8,4,31,0.000252,0.000015,0.000014,0.000007,0.000025,0.000004,0.000018,0.000003
RS,100,10,4,31,0.000258,0.000003,0.000015,0.000006,0.000028,0.000014,0.000019,0.000004
RS,500,4,2,31,0.000648,0.000017,0.000117,0.000025,0.000107,0.000014,0.000107,0.000025
RS,500,8,4,31,0.001185,0.000029,0.000114,0.000021,0.000120,0.000020,0.000101,0.000016
RS,500,10,4,31,0.001194,0.000025,0.000114,0.000023,0.000118,0.000015,0.000103,0.000014
RS,1000,4,2,31,0.001261,0.000029,0.000247,0.000047,0.000244,0.000026,0.000308,0.000048
RS,1000,8,4,31,0.002321,0.000030,0.000232,0.000037,0.000249,0.000020,0.000288,0.000039
RS,1000,10,4,31,0.002341,0.000033,0.000229,0.000041,0.000264,0.000023,0.000295,0.000032
