algoritmo,size_kb,num_objects,avg_time_seconds,std_dev_seconds,throughput_kb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
SHA256,1,31,0.000006,0.000007,173710.26,0.000013,0.000002,0.000009,0.000001
SHA256,10,31,0.000011,0.000001,948934.89,0.000013,0.000001,0.000010,0.000000
SHA256,50,31,0.000037,0.000001,1345455.64,0.000019,0.000002,0.000013,0.000002
SHA256,100,31,0.000071,0.000001,1407957.49,0.000024,0.000002,0.000017,0.000004
SHA256,500,31,0.000345,0.000006,1451169.00,0.000094,0.000007,0.000069,0.000028
SHA256,1000,31,0.000687,0.000005,1454696.92,0.000261,0.000021,0.000231,0.000051
SHA3_256,1,31,0.000008,0.000007,120999.29,0.000013,0.000003,0.000013,0.000021
SHA3_256,10,31,0.000038,0.000001,266441.58,0.000013,0.000001,0.000010,0.000000
SHA3_256,50,31,0.000173,0.000005,289334.78,0.000018,0.000001,0.000013,0.000001
SHA3_256,100,31,0.000341,0.000005,293301.72,0.000023,0.000001,0.000017,0.000004
SHA3_256,500,31,0.001695,0.000003,294947.22,0.000093,0.000008,0.000067,0.000023
SHA3_256,1000,31,0.003375,0.000004,296335.43,0.000260,0.000016,0.000219,0.000024
BLAKE3,1,31,0.000006,0.000003,180853.96,0.000013,0.000003,0.000012,0.000018
BLAKE3,10,31,0.000026,0.000003,386155.24,0.000013,0.000002,0.000010,0.000000
BLAKE3,50,31,0.000116,0.000004,429981.42,0.000018,0.000001,0.000013,0.000001
BLAKE3,100,31,0.000231,0.000008,433772.16,0.000023,0.000001,0.000017,0.000004
BLAKE3,500,31,0.001145,0.000008,436819.13,0.000098,0.000008,0.000071,0.000022
BLAKE3,1000,31,0.002301,0.000021,434662.09,0.000275,0.000025,0.000227,0.000026
HMAC_SHA256,1,31,0.000010,0.000008,104784.28,0.000013,0.000003,0.000012,0.000018
HMAC_SHA256,10,31,0.000014,0.000001,701632.14,0.000013,0.000001,0.000010,0.000000
HMAC_SHA256,50,31,0.000042,0.000001,1198144.52,0.000018,0.000001,0.000013,0.000000
HMAC_SHA256,100,31,0.000076,0.000001,1321520.33,0.000023,0.000001,0.000017,0.000004
HMAC_SHA256,500,31,0.000353,0.000001,1415485.67,0.000097,0.000008,0.000070,0.000023
HMAC_SHA256,1000,31,0.000700,0.000006,1427596.06,0.000258,0.000019,0.000219,0.000026
