algoritmo,size_kb,num_objects,avg_ratio,avg_comp_s,std_comp_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s,avg_decomp_s,std_decomp_s
ZLIB,1,31,7.70x,0.000040,0.000011,0.000011,0.000001,0.000009,0.000001,0.000006,0.000002
ZLIB,10,31,49.00x,0.000091,0.000005,0.000012,0.000001,0.000009,0.000000,0.000013,0.000002
ZLIB,50,31,102.61x,0.000322,0.000020,0.000016,0.000001,0.000014,0.000003,0.000042,0.000003
ZLIB,100,31,121.62x,0.000649,0.000055,0.000021,0.000001,0.000019,0.000006,0.000083,0.000010
ZLIB,500,31,145.17x,0.003216,0.000027,0.000131,0.000019,0.000110,0.000027,0.000414,0.000031
ZLIB,1000,31,148.75x,0.006434,0.000021,0.000314,0.000057,0.000321,0.000043,0.000824,0.000049
BZ2,1,31,4.23x,0.000178,0.000017,0.000011,0.000002,0.000012,0.000019,0.000034,0.000006
BZ2,10,31,33.46x,0.003049,0.000016,0.000012,0.000001,0.000010,0.000000,0.000117,0.000005
BZ2,50,31,137.27x,0.013796,0.000854,0.000019,0.000002,0.000013,0.000000,0.000542,0.000008
BZ2,100,31,265.28x,0.028331,0.000191,0.000034,0.000013,0.000022,0.000002,0.001015,0.000026
BZ2,500,31,1135.25x,0.193421,0.006477,0.000205,0.000032,0.000135,0.000025,0.006496,0.000382
BZ2,1000,31,1171.62x,0.586128,0.003735,0.000335,0.000042,0.000322,0.000038,0.015510,0.000240
LZMA,1,31,5.12x,0.001930,0.000486,0.000012,0.000003,0.000009,0.000001,0.000021,0.000008
LZMA,10,31,43.39x,0.002804,0.000720,0.000014,0.000001,0.000010,0.000000,0.000191,0.000218
LZMA,50,31,191.04x,0.003820,0.000736,0.000021,0.000004,0.000015,0.000002,0.000216,0.000203
LZMA,100,31,365.71x,0.005092,0.000719,0.000031,0.000008,0.000021,0.000003,0.000282,0.000193
LZMA,500,31,1523.81x,0.016043,0.000725,0.000166,0.000029,0.000130,0.000018,0.001002,0.000236
LZMA,1000,31,2509.80x,0.030278,0.000685,0.000360,0.000033,0.000317,0.000040,0.002004,0.000288
LZ4,1,31,6.13x,0.000004,0.000006,0.000011,0.000003,0.000009,0.000001,0.000002,0.000001
LZ4,10,31,29.85x,0.000005,0.000000,0.000011,0.000001,0.000009,0.000002,0.000004,0.000001
LZ4,50,31,45.27x,0.000014,0.000000,0.000016,0.000001,0.000012,0.000002,0.000012,0.000003
LZ4,100,31,48.19x,0.000027,0.000001,0.000020,0.000001,0.000016,0.000000,0.000021,0.000002
LZ4,500,31,62.85x,0.000115,0.000004,0.000118,0.000020,0.000083,0.000018,0.000125,0.000016
LZ4,1000,31,61.07x,0.000225,0.000005,0.000290,0.000049,0.000284,0.000037,0.000336,0.000030
ZSTD,1,31,7.94x,0.000013,0.000014,0.000011,0.000002,0.000009,0.000000,0.000006,0.000005
ZSTD,10,31,40.00x,0.000022,0.000005,0.000012,0.000001,0.000009,0.000000,0.000007,0.000000
ZSTD,50,31,83.52x,0.000053,0.000004,0.000016,0.000001,0.000012,0.000000,0.000014,0.000001
ZSTD,100,31,94.29x,0.000073,0.000010,0.000022,0.000002,0.000016,0.000001,0.000023,0.000002
ZSTD,500,31,103.00x,0.000329,0.000023,0.000144,0.000032,0.000101,0.000021,0.000140,0.000019
ZSTD,1000,31,104.01x,0.000594,0.000013,0.000349,0.000016,0.000253,0.000021,0.000267,0.000007
