algoritmo,size_kb,k_datos,m_paridad,num_objects,avg_encoding_s,std_encoding_s,avg_decoding_s,std_decoding_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
RS,1,4,2,31,0.000022,0.000019,0.000002,0.000001,0.000011,0.000001,0.000009,0.000001
RS,1,8,4,31,0.000033,0.000002,0.000002,0.000000,0.000012,0.000001,0.000009,0.000000
RS,1,10,4,31,0.000038,0.000002,0.000002,0.000000,0.000014,0.000013,0.000009,0.000001
RS,10,4,2,31,0.000030,0.000001,0.000003,0.000000,0.000012,0.000001,0.000009,0.000000
RS,10,8,4,31,0.000054,0.000002,0.000003,0.000000,0.000012,0.000000,0.000009,0.000000
RS,10,10,4,31,0.000059,0.000002,0.000003,0.000000,0.000012,0.000001,0.000009,0.000000
RS,50,4,2,31,0.000074,0.000003,0.000006,0.000003,0.000017,0.000002,0.000013,0.000003
RS,50,8,4,31,0.000141,0.000002,0.000006,0.000003,0.000017,0.000001,0.000013,0.000000
RS,50,10,4,31,0.000146,0.000003,0.000006,0.000000,0.000017,0.000002,0.000013,0.000002
RS,100,4,2,31,0.000130,0.000004,0.000013,0.000007,0.000021,0.000002,0.000018,0.000003
RS,100,8,4,31,0.000252,0.000009,0.000014,0.000007,0.000023,0.000003,0.000018,0.000004
RS,100,10,4,31,0.000258,0.000003,0.000014,0.000007,0.000023,0.000002,0.000018,0.000005
RS,500,4,2,31,0.000666,0.000054,0.000117,0.000035,0.000099,0.000017,0.000103,0.000026
RS,500,8,4,31,0.001457,0.000019,0.000114,0.000019,0.000113,0.000014,0.000102,0.000012
RS,500,10,4,31,0.001186,0.000015,0.000110,0.000024,0.000104,0.000016,0.000103,0.000015
RS,1000,4,2,31,0.001255,0.000028,0.000245,0.000042,0.000228,0.000035,0.000308,0.000049
RS,1000,8,4,31,0.002313,0.000029,0.000225,0.000039,0.000225,0.000019,0.000293,0.000031
RS,1000,10,4,31,0.002330,0.000022,0.000224,0.000037,0.000229,0.000014,0.000289,0.000035
