algorithm,size_kb,key_bits,object_id,tiempo_encryption_s,tiempo_decryption_s,tiempo_io_write_orig_s,tiempo_io_read_orig_s,tiempo_io_write_enc_s,tiempo_io_read_enc_s
AES,1,128,1,0.000056,0.000023,0.000018,0.000012,0.000025,0.000011
AES,1,128,2,0.000013,0.000014,0.000013,0.000010,0.000015,0.000009
AES,1,128,3,0.000011,0.000012,0.000012,0.000009,0.000013,0.000009
AES,1,128,4,0.000010,0.000011,0.000011,0.000009,0.000014,0.000008
AES,1,128,5,0.000010,0.000011,0.000011,0.000009,0.000012,0.000008
AES,1,128,6,0.000010,0.000011,0.000011,0.000009,0.000012,0.000008
AES,1,128,7,0.000010,0.000011,0.000011,0.000008,0.000012,0.000008
AES,1,128,8,0.000009,0.000010,0.000011,0.000008,0.000012,0.000008
AES,1,128,9,0.000009,0.000010,0.000010,0.000008,0.000012,0.000008
AES,1,128,10,0.000009,0.000010,0.000011,0.000008,0.000011,0.000008
AES,1,128,11,0.000009,0.000010,0.000011,0.000008,0.000012,0.000008
AES,1,128,12,0.000009,0.000011,0.000011,0.000008,0.000012,0.000008
AES,1,128,13,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,14,0.000010,0.000010,0.000010,0.000008,0.000012,0.000008
AES,1,128,15,0.000010,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,16,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,17,0.000010,0.000010,0.000011,0.000009,0.000012,0.000008
AES,1,128,18,0.000009,0.000010,0.000011,0.000008,0.000012,0.000008
AES,1,128,19,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,20,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,21,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,22,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,23,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,24,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,25,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,26,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,27,0.000009,0.000011,0.000010,0.000008,0.000011,0.000008
AES,1,128,28,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,29,0.000009,0.000011,0.000011,0.000008,0.000012,0.000008
AES,1,128,30,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,128,31,0.000009,0.000010,0.000010,0.000008,0.000011,0.000008
AES,1,256,1,0.000012,0.000013,0.000014,0.000009,0.000013,0.000008
AES,1,256,2,0.000011,0.000012,0.000011,0.000009,0.000012,0.000008
AES,1,256,3,0.000011,0.000012,0.000011,0.000008,0.000012,0.000008
AES,1,256,4,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,5,0.000011,0.000012,0.000011,0.000008,0.000011,0.000008
AES,1,256,6,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,7,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,8,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,9,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,10,0.000011,0.000012,0.000012,0.000009,0.000012,0.000009
AES,1,256,11,0.000011,0.000012,0.000010,0.000009,0.000011,0.000008
AES,1,256,12,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,13,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,14,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,15,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,16,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,17,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,18,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,19,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,20,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,21,0.000011,0.000012,0.000010,0.000008,0.000012,0.000008
AES,1,256,22,0.000011,0.000012,0.000010,0.000008,0.000012,0.000008
AES,1,256,23,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,24,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,25,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,26,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,27,0.000011,0.000012,0.000010,0.000008,0.000012,0.000008
AES,1,256,28,0.000011,0.000012,0.000010,0.000008,0.000012,0.000008
AES,1,256,29,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,30,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,1,256,31,0.000011,0.000012,0.000010,0.000008,0.000011,0.000008
AES,10,128,1,0.000094,0.000062,0.000014,0.000013,0.000018,0.000009
AES,10,128,2,0.000057,0.000059,0.000035,0.000012,0.000015,0.000010
AES,10,128,3,0.000057,0.000059,0.000012,0.000009,0.000017,0.000009
AES,10,128,4,0.000057,0.000059,0.000012,0.000015,0.000014,0.000009
AES,10,128,5,0.000057,0.000059,0.000012,0.000009,0.000014,0.000009
AES,10,128,6,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,7,0.000056,0.000058,0.000011,0.000009,0.000014,0.000009
AES,10,128,8,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,9,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,10,0.000057,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,11,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,12,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,13,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,14,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,15,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,16,0.000057,0.000058,0.000019,0.000010,0.000013,0.000009
AES,10,128,17,0.000057,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,18,0.000057,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,19,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,20,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,21,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,22,0.000056,0.000059,0.000011,0.000009,0.000013,0.000009
AES,10,128,23,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,24,0.000057,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,25,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,26,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,27,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,28,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,29,0.000056,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,128,30,0.000064,0.000059,0.000011,0.000009,0.000014,0.000010
AES,10,128,31,0.000057,0.000058,0.000011,0.000009,0.000013,0.000009
AES,10,256,1,0.000073,0.000075,0.000014,0.000010,0.000013,0.000009
AES,10,256,2,0.000073,0.000075,0.000012,0.000009,0.000014,0.000009
AES,10,256,3,0.000072,0.000075,0.000012,0.000009,0.000013,0.000009
AES,10,256,4,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,5,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,6,0.000072,0.000075,0.000012,0.000009,0.000013,0.000009
AES,10,256,7,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,8,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,9,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,10,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,11,0.000072,0.000074,0.000012,0.000009,0.000013,0.000009
AES,10,256,12,0.000072,0.000074,0.000011,0.000009,0.000013,0.000009
AES,10,256,13,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,14,0.000072,0.000074,0.000011,0.000009,0.000013,0.000009
AES,10,256,15,0.000072,0.000074,0.000011,0.000009,0.000012,0.000009
AES,10,256,16,0.000072,0.000074,0.000011,0.000009,0.000013,0.000009
AES,10,256,17,0.000072,0.000074,0.000011,0.000009,0.000013,0.000009
AES,10,256,18,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,19,0.000072,0.000074,0.000011,0.000009,0.000013,0.000009
AES,10,256,20,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,21,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,22,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,23,0.000072,0.000137,0.000011,0.000009,0.000016,0.000010
AES,10,256,24,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,25,0.000072,0.000074,0.000011,0.000009,0.000013,0.000009
AES,10,256,26,0.000072,0.000074,0.000011,0.000009,0.000013,0.000009
AES,10,256,27,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,28,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,10,256,29,0.000072,0.000074,0.000011,0.000009,0.000013,0.000009
AES,10,256,30,0.000072,0.000074,0.000011,0.000009,0.000013,0.000009
AES,10,256,31,0.000072,0.000075,0.000011,0.000009,0.000013,0.000009
AES,50,128,1,0.000313,0.000286,0.000019,0.000018,0.000034,0.000016
AES,50,128,2,0.000265,0.000271,0.000017,0.000012,0.000020,0.000013
AES,50,128,3,0.000265,0.000272,0.000016,0.000012,0.000021,0.000013
AES,50,128,4,0.000265,0.000274,0.000016,0.000012,0.000019,0.000012
AES,50,128,5,0.000265,0.000272,0.000015,0.000012,0.000019,0.000013
AES,50,128,6,0.000265,0.000272,0.000015,0.000012,0.000020,0.000013
AES,50,128,7,0.000265,0.000271,0.000016,0.000012,0.000021,0.000020
AES,50,128,8,0.000265,0.000271,0.000016,0.000012,0.000018,0.000012
AES,50,128,9,0.000264,0.000271,0.000015,0.000012,0.000019,0.000012
AES,50,128,10,0.000265,0.000281,0.000016,0.000012,0.000020,0.000013
AES,50,128,11,0.000265,0.000271,0.000016,0.000012,0.000018,0.000012
AES,50,128,12,0.000265,0.000270,0.000016,0.000012,0.000018,0.000012
AES,50,128,13,0.000264,0.000271,0.000015,0.000012,0.000019,0.000012
AES,50,128,14,0.000264,0.000271,0.000016,0.000012,0.000018,0.000012
AES,50,128,15,0.000265,0.000272,0.000019,0.000013,0.000020,0.000012
AES,50,128,16,0.000265,0.000278,0.000016,0.000012,0.000020,0.000013
AES,50,128,17,0.000264,0.000270,0.000015,0.000012,0.000020,0.000012
AES,50,128,18,0.000265,0.000270,0.000016,0.000012,0.000019,0.000020
AES,50,128,19,0.000275,0.000271,0.000016,0.000014,0.000020,0.000013
AES,50,128,20,0.000264,0.000270,0.000016,0.000012,0.000018,0.000012
AES,50,128,21,0.000264,0.000271,0.000016,0.000012,0.000018,0.000019
AES,50,128,22,0.000265,0.000270,0.000016,0.000012,0.000018,0.000012
AES,50,128,23,0.000264,0.000270,0.000016,0.000012,0.000018,0.000012
AES,50,128,24,0.000264,0.000271,0.000016,0.000012,0.000018,0.000012
AES,50,128,25,0.000264,0.000271,0.000016,0.000012,0.000018,0.000012
AES,50,128,26,0.000265,0.000272,0.000015,0.000012,0.000019,0.000012
AES,50,128,27,0.000265,0.000271,0.000015,0.000012,0.000018,0.000012
AES,50,128,28,0.000274,0.000271,0.000015,0.000012,0.000019,0.000013
AES,50,128,29,0.000265,0.000270,0.000016,0.000012,0.000020,0.000012
AES,50,128,30,0.000265,0.000271,0.000016,0.000012,0.000018,0.000012
AES,50,128,31,0.000264,0.000270,0.000015,0.000012,0.000018,0.000012
AES,50,256,1,0.000386,0.000354,0.000018,0.000013,0.000022,0.000013
AES,50,256,2,0.000344,0.000352,0.000016,0.000012,0.000019,0.000012
AES,50,256,3,0.000343,0.000352,0.000016,0.000012,0.000018,0.000012
AES,50,256,4,0.000343,0.000353,0.000015,0.000012,0.000018,0.000012
AES,50,256,5,0.000343,0.000353,0.000017,0.000013,0.000019,0.000012
AES,50,256,6,0.000343,0.000352,0.000015,0.000012,0.000018,0.000012
AES,50,256,7,0.000343,0.000352,0.000016,0.000012,0.000018,0.000012
AES,50,256,8,0.000343,0.000359,0.000015,0.000012,0.000020,0.000012
AES,50,256,9,0.000343,0.000351,0.000016,0.000012,0.000018,0.000012
AES,50,256,10,0.000343,0.000352,0.000015,0.000012,0.000018,0.000012
AES,50,256,11,0.000343,0.000352,0.000016,0.000012,0.000018,0.000012
AES,50,256,12,0.000351,0.000352,0.000016,0.000012,0.000020,0.000013
AES,50,256,13,0.000343,0.000352,0.000016,0.000012,0.000019,0.000012
AES,50,256,14,0.000343,0.000352,0.000015,0.000012,0.000018,0.000012
AES,50,256,15,0.000343,0.000352,0.000016,0.000012,0.000018,0.000012
AES,50,256,16,0.000375,0.000353,0.000015,0.000012,0.000021,0.000013
AES,50,256,17,0.000343,0.000352,0.000016,0.000012,0.000018,0.000012
AES,50,256,18,0.000343,0.000352,0.000015,0.000012,0.000019,0.000012
AES,50,256,19,0.000343,0.000352,0.000016,0.000012,0.000018,0.000012
AES,50,256,20,0.000343,0.000352,0.000017,0.000012,0.000018,0.000012
AES,50,256,21,0.000343,0.000352,0.000016,0.000012,0.000018,0.000012
AES,50,256,22,0.000342,0.000352,0.000016,0.000012,0.000018,0.000012
AES,50,256,23,0.000343,0.000358,0.000016,0.000012,0.000019,0.000013
AES,50,256,24,0.000344,0.000352,0.000015,0.000012,0.000018,0.000012
AES,50,256,25,0.000343,0.000352,0.000016,0.000012,0.000018,0.000012
AES,50,256,26,0.000343,0.000352,0.000016,0.000012,0.000018,0.000012
AES,50,256,27,0.000343,0.000363,0.000016,0.000012,0.000020,0.000013
AES,50,256,28,0.000343,0.000352,0.000016,0.000012,0.000018,0.000012
AES,50,256,29,0.000343,0.000353,0.000016,0.000012,0.000019,0.000012
AES,50,256,30,0.000343,0.000351,0.000016,0.000012,0.000018,0.000012
AES,50,256,31,0.000371,0.000363,0.000015,0.000012,0.000021,0.000013
AES,100,128,1,0.000599,0.000570,0.000022,0.000017,0.000032,0.000018
AES,100,128,2,0.000525,0.000550,0.000021,0.000016,0.000026,0.000036
AES,100,128,3,0.000526,0.000548,0.000021,0.000016,0.000025,0.000016
AES,100,128,4,0.000525,0.000536,0.000020,0.000016,0.000026,0.000016
AES,100,128,5,0.000526,0.000537,0.000022,0.000016,0.000024,0.000028
AES,100,128,6,0.000527,0.000536,0.000021,0.000016,0.000024,0.000016
AES,100,128,7,0.000536,0.000546,0.000020,0.000016,0.000026,0.000017
AES,100,128,8,0.000525,0.000551,0.000021,0.000015,0.000025,0.000016
AES,100,128,9,0.000524,0.000573,0.000021,0.000016,0.000026,0.000018
AES,100,128,10,0.000526,0.000537,0.000020,0.000016,0.000025,0.000016
AES,100,128,11,0.000526,0.000546,0.000020,0.000015,0.000025,0.000016
AES,100,128,12,0.000525,0.000535,0.000022,0.000016,0.000026,0.000026
AES,100,128,13,0.000524,0.000536,0.000021,0.000016,0.000024,0.000015
AES,100,128,14,0.000535,0.000547,0.000020,0.000016,0.000026,0.000017
AES,100,128,15,0.000524,0.000547,0.000020,0.000016,0.000026,0.000016
AES,100,128,16,0.000524,0.000549,0.000020,0.000017,0.000027,0.000025
AES,100,128,17,0.000527,0.000536,0.000021,0.000016,0.000024,0.000016
AES,100,128,18,0.000526,0.000537,0.000021,0.000016,0.000024,0.000015
AES,100,128,19,0.000525,0.000536,0.000022,0.000017,0.000024,0.000016
AES,100,128,20,0.000525,0.000548,0.000020,0.000016,0.000025,0.000016
AES,100,128,21,0.000526,0.000547,0.000020,0.000015,0.000027,0.000017
AES,100,128,22,0.000524,0.000549,0.000020,0.000015,0.000025,0.000016
AES,100,128,23,0.000527,0.000537,0.000020,0.000015,0.000025,0.000016
AES,100,128,24,0.000526,0.000537,0.000021,0.000017,0.000026,0.000016
AES,100,128,25,0.000525,0.000550,0.000020,0.000016,0.000026,0.000016
AES,100,128,26,0.000535,0.000537,0.000020,0.000016,0.000026,0.000027
AES,100,128,27,0.000526,0.000536,0.000021,0.000016,0.000025,0.000028
AES,100,128,28,0.000524,0.000558,0.000020,0.000016,0.000025,0.000026
AES,100,128,29,0.000525,0.000536,0.000020,0.000016,0.000025,0.000017
AES,100,128,30,0.000525,0.000536,0.000020,0.000023,0.000025,0.000016
AES,100,128,31,0.000525,0.000549,0.000021,0.000017,0.000025,0.000017
AES,100,256,1,0.000684,0.000700,0.000023,0.000017,0.000027,0.000017
AES,100,256,2,0.000684,0.000700,0.000022,0.000017,0.000025,0.000017
AES,100,256,3,0.000683,0.000714,0.000020,0.000016,0.000025,0.000016
AES,100,256,4,0.000684,0.000699,0.000022,0.000017,0.000025,0.000027
AES,100,256,5,0.000683,0.000699,0.000021,0.000016,0.000025,0.000027
AES,100,256,6,0.000684,0.000698,0.000021,0.000016,0.000024,0.000024
AES,100,256,7,0.000684,0.000712,0.000020,0.000016,0.000025,0.000025
AES,100,256,8,0.000683,0.000700,0.000021,0.000016,0.000026,0.000016
AES,100,256,9,0.000682,0.000699,0.000020,0.000028,0.000035,0.000019
AES,100,256,10,0.000681,0.000711,0.000021,0.000016,0.000025,0.000016
AES,100,256,11,0.000684,0.000699,0.000020,0.000016,0.000046,0.000017
AES,100,256,12,0.000683,0.000698,0.000020,0.000016,0.000024,0.000027
AES,100,256,13,0.000683,0.000720,0.000022,0.000015,0.000026,0.000017
AES,100,256,14,0.000684,0.000699,0.000020,0.000016,0.000025,0.000016
AES,100,256,15,0.000683,0.000707,0.000020,0.000015,0.000025,0.000028
AES,100,256,16,0.000682,0.000698,0.000021,0.000016,0.000025,0.000016
