algorithm,size_kb,key_bits,num_objects,avg_encryption_s,std_encryption_s,avg_decryption_s,std_decryption_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
AES,1,128,31,0.000011,0.000008,0.000011,0.000002,0.000011,0.000001,0.000008,0.000001
AES,1,256,31,0.000011,0.000000,0.000012,0.000000,0.000011,0.000001,0.000008,0.000000
AES,10,128,31,0.000058,0.000007,0.000058,0.000001,0.000012,0.000004,0.000009,0.000001
AES,10,256,31,0.000072,0.000000,0.000077,0.000011,0.000011,0.000001,0.000009,0.000000
AES,50,128,31,0.000267,0.000009,0.000272,0.000003,0.000016,0.000001,0.000012,0.000001
AES,50,256,31,0.000347,0.000010,0.000353,0.000003,0.000016,0.000001,0.000012,0.000000
AES,100,128,31,0.000529,0.000013,0.000544,0.000010,0.000021,0.000001,0.000016,0.000001
AES,100,256,31,0.000684,0.000002,0.000710,0.000010,0.000021,0.000001,0.000016,0.000002
AES,500,128,31,0.002742,0.000035,0.002804,0.000044,0.000099,0.000022,0.000103,0.000020
AES,500,256,31,0.003554,0.000077,0.003825,0.000734,0.000099,0.000044,0.000110,0.000049
AES,1000,128,31,0.005473,0.000055,0.005578,0.000068,0.000211,0.000039,0.000297,0.000039
AES,1000,256,31,0.007033,0.000032,0.007209,0.000076,0.000227,0.000037,0.000266,0.000033
CHACHA20,1,256,31,0.000010,0.000012,0.000007,0.000001,0.000011,0.000003,0.000010,0.000012
CHACHA20,10,256,31,0.000042,0.000006,0.000040,0.000000,0.000011,0.000001,0.000009,0.000000
CHACHA20,50,256,31,0.000195,0.000010,0.000192,0.000008,0.000017,0.000003,0.000012,0.000001
CHACHA20,100,256,31,0.000383,0.000011,0.000377,0.000002,0.000021,0.000002,0.000016,0.000001
CHACHA20,500,256,31,0.001967,0.000031,0.001928,0.000014,0.000114,0.000023,0.000095,0.000011
CHACHA20,1000,256,31,0.003993,0.000045,0.003876,0.000031,0.000260,0.000021,0.000241,0.000030
