algoritmo,size_kb,num_objects,avg_time_seconds,std_dev_seconds,throughput_kb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
SHA256,1,31,0.000005,0.000006,213466.87,0.000011,0.000002,0.000008,0.000001
SHA256,10,31,0.000010,0.000002,994581.93,0.000011,0.000001,0.000009,0.000000
SHA256,50,31,0.000037,0.000000,1349389.99,0.000016,0.000002,0.000012,0.000001
SHA256,100,31,0.000071,0.000000,1415654.91,0.000020,0.000001,0.000016,0.000004
SHA256,500,31,0.000350,0.000010,1428349.83,0.000082,0.000020,0.000075,0.000026
SHA256,1000,31,0.000687,0.000006,1454739.56,0.000234,0.000023,0.000239,0.000067
SHA3_256,1,31,0.000008,0.000007,125431.22,0.000011,0.000003,0.000011,0.000015
SHA3_256,10,31,0.000037,0.000000,268041.34,0.000011,0.000001,0.000010,0.000003
SHA3_256,50,31,0.000172,0.000000,291232.74,0.000016,0.000001,0.000012,0.000001
SHA3_256,100,31,0.000340,0.000005,293747.08,0.000020,0.000001,0.000016,0.000003
SHA3_256,500,31,0.001688,0.000004,296243.18,0.000079,0.000007,0.000072,0.000017
SHA3_256,1000,31,0.003378,0.000007,296009.32,0.000238,0.000014,0.000227,0.000044
BLAKE3,1,31,0.000005,0.000003,185713.03,0.000011,0.000002,0.000011,0.000015
BLAKE3,10,31,0.000026,0.000004,386016.35,0.000011,0.000001,0.000009,0.000000
BLAKE3,50,31,0.000116,0.000001,432588.34,0.000016,0.000001,0.000012,0.000001
BLAKE3,100,31,0.000228,0.000001,437820.98,0.000020,0.000001,0.000016,0.000003
BLAKE3,500,31,0.001145,0.000016,436728.02,0.000083,0.000020,0.000068,0.000022
BLAKE3,1000,31,0.002290,0.000007,436604.86,0.000243,0.000018,0.000232,0.000044
HMAC_SHA256,1,31,0.000009,0.000008,111785.85,0.000011,0.000003,0.000011,0.000016
HMAC_SHA256,10,31,0.000014,0.000002,731387.56,0.000012,0.000001,0.000009,0.000000
HMAC_SHA256,50,31,0.000041,0.000001,1219563.23,0.000016,0.000001,0.000012,0.000001
HMAC_SHA256,100,31,0.000076,0.000003,1311940.10,0.000021,0.000002,0.000017,0.000003
HMAC_SHA256,500,31,0.000355,0.000005,1408074.57,0.000084,0.000009,0.000077,0.000018
HMAC_SHA256,1000,31,0.000701,0.000007,1426176.69,0.000238,0.000020,0.000225,0.000042
