algorithm,size_mb,key_bits,num_objects,avg_encryption_s,std_encryption_s,avg_decryption_s,std_decryption_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
AES,0.000976562,128,31,0.000007,0.000004,0.000007,0.000002,0.000020,0.000001,0.000011,0.000001
AES,0.00976562,128,31,0.000021,0.000005,0.000022,0.000003,0.000023,0.000001,0.000011,0.000002
AES,0.0488281,128,31,0.000086,0.000004,0.000089,0.000004,0.000034,0.000001,0.000014,0.000003
AES,0.0976562,128,31,0.000172,0.000007,0.000176,0.000008,0.000050,0.000002,0.000020,0.000005
AES,0.488281,128,31,0.000846,0.000048,0.000880,0.000059,0.000171,0.000002,0.000051,0.000029
AES,0.976562,128,31,0.001689,0.000092,0.001844,0.000180,0.000324,0.000005,0.000096,0.000074
AES,1,128,31,0.001720,0.000113,0.001831,0.000156,0.000337,0.000023,0.000132,0.000107
AES,10,128,31,0.017905,0.000486,0.018537,0.000789,0.003748,0.000121,0.001078,0.000353
AES,50,128,31,0.107885,0.000208,0.107558,0.003976,0.019053,0.000365,0.009587,0.000169
AES,100,128,31,0.213493,0.002933,0.216600,0.008438,0.038482,0.000606,0.018558,0.000390
AES,1000,128,31,2.118542,0.004893,2.113476,0.089069,0.363910,0.004384,0.528379,0.115508
AES,0.000976562,256,31,0.000006,0.000000,0.000007,0.000000,0.000020,0.000001,0.000010,0.000001
AES,0.00976562,256,31,0.000023,0.000000,0.000025,0.000004,0.000023,0.000001,0.000011,0.000001
AES,0.0488281,256,31,0.000099,0.000002,0.000102,0.000003,0.000035,0.000005,0.000014,0.000001
AES,0.0976562,256,31,0.000196,0.000005,0.000201,0.000005,0.000050,0.000001,0.000020,0.000003
AES,0.488281,256,31,0.000965,0.000006,0.000991,0.000002,0.000170,0.000002,0.000046,0.000001
AES,0.976562,256,31,0.001968,0.000123,0.002161,0.000202,0.000321,0.000003,0.000076,0.000001
AES,1,256,31,0.001984,0.000058,0.002092,0.000122,0.000332,0.000009,0.000111,0.000088
AES,10,256,31,0.020580,0.000357,0.021504,0.000814,0.003741,0.000110,0.000947,0.000078
AES,50,256,31,0.121492,0.000318,0.121385,0.003542,0.019144,0.000661,0.009726,0.000280
AES,100,256,31,0.241195,0.000311,0.245583,0.008567,0.038445,0.000489,0.018534,0.000386
AES,1000,256,31,2.388695,0.005529,2.382262,0.077712,0.370221,0.004796,0.577639,0.033997
CHACHA20,0.000976562,256,31,0.000008,0.000008,0.000005,0.000000,0.000020,0.000001,0.000011,0.000003
CHACHA20,0.00976562,256,31,0.000028,0.000004,0.000026,0.000002,0.000023,0.000002,0.000011,0.000001
CHACHA20,0.0488281,256,31,0.000122,0.000006,0.000118,0.000003,0.000035,0.000001,0.000014,0.000001
CHACHA20,0.0976562,256,31,0.000237,0.000005,0.000233,0.000003,0.000050,0.000002,0.000020,0.000001
CHACHA20,0.488281,256,31,0.001168,0.000007,0.001160,0.000003,0.000172,0.000003,0.000047,0.000002
CHACHA20,0.976562,256,31,0.002447,0.000131,0.002454,0.000151,0.000324,0.000009,0.000094,0.000071
CHACHA20,1,256,31,0.002406,0.000121,0.002387,0.000061,0.000335,0.000021,0.000091,0.000060
CHACHA20,10,256,31,0.024689,0.000414,0.024194,0.000273,0.003824,0.000179,0.001029,0.000284
CHACHA20,50,256,31,0.140220,0.003634,0.137469,0.004073,0.018952,0.000317,0.009649,0.000227
CHACHA20,100,256,31,0.278454,0.007354,0.273075,0.008541,0.038574,0.000670,0.018475,0.000413
CHACHA20,1000,256,31,2.766893,0.074543,2.710347,0.097470,0.371921,0.002381,0.580520,0.029165
