algoritmo,size_mb,num_objects,avg_ratio,avg_comp_s,std_comp_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s,avg_decomp_s,std_decomp_s
BZ2,0.000976562,31,4.23x,0.000106,0.000051,0.000020,0.000002,0.000011,0.000000,0.000024,0.000002
BZ2,0.000976562,31,4.23x,0.000102,0.000019,0.000020,0.000001,0.000021,0.000054,0.000024,0.000003
BZ2,0.000976562,31,4.23x,0.000104,0.000019,0.000020,0.000001,0.000020,0.000053,0.000024,0.000003
BZ2,0.00976562,31,33.46x,0.001723,0.000007,0.000024,0.000002,0.000012,0.000001,0.000073,0.000002
BZ2,0.00976562,31,33.46x,0.001787,0.000025,0.000024,0.000000,0.000012,0.000001,0.000075,0.000002
BZ2,0.00976562,31,33.46x,0.001783,0.000009,0.000024,0.000002,0.000012,0.000002,0.000075,0.000001
BZ2,0.0488281,31,137.27x,0.007210,0.000024,0.000035,0.000001,0.000014,0.000001,0.000325,0.000005
BZ2,0.0488281,31,137.27x,0.007291,0.000038,0.000036,0.000001,0.000015,0.000001,0.000343,0.000010
BZ2,0.0488281,31,137.27x,0.007297,0.000047,0.000036,0.000000,0.000015,0.000001,0.000342,0.000013
BZ2,0.0976562,31,265.28x,0.014975,0.000082,0.000050,0.000000,0.000020,0.000002,0.000672,0.000030
BZ2,0.0976562,31,265.28x,0.014995,0.000094,0.000051,0.000001,0.000020,0.000000,0.000733,0.000040
BZ2,0.0976562,31,265.28x,0.014973,0.000077,0.000052,0.000002,0.000021,0.000001,0.000784,0.000057
BZ2,0.488281,31,1135.25x,0.086955,0.000657,0.000177,0.000007,0.000048,0.000005,0.003539,0.000280
BZ2,0.488281,31,1135.25x,0.086906,0.000854,0.000175,0.000005,0.000047,0.000002,0.003855,0.000493
BZ2,0.488281,31,1135.25x,0.086398,0.000769,0.000183,0.000010,0.000047,0.000001,0.003688,0.000376
BZ2,0.976562,31,1171.62x,0.177139,0.001012,0.000341,0.000019,0.000082,0.000011,0.007283,0.000412
BZ2,0.976562,31,1171.62x,0.175594,0.000799,0.000338,0.000016,0.000088,0.000042,0.007628,0.000785
BZ2,0.976562,31,1171.62x,0.176077,0.001215,0.000337,0.000017,0.000086,0.000028,0.007121,0.000417
BZ2,1,31,1191.56x,0.176892,0.001118,0.000375,0.000009,0.000141,0.000325,0.006886,0.000509
BZ2,10,31,1878.50x,1.804572,0.010176,0.003725,0.000128,0.000850,0.000126,0.062745,0.004941
BZ2,50,31,1917.59x,9.117980,0.022253,0.018213,0.000178,0.008578,0.000348,0.352270,0.008523
BZ2,100,31,1930.23x,18.123627,0.107767,0.036147,0.000319,0.016684,0.001287,0.664623,0.045140
BZ2,1000,31,1937.27x,180.202396,0.068217,0.356122,0.002020,0.154381,0.020603,6.168340,0.007630
LZ4,0.000976562,31,6.13x,0.000004,0.000004,0.000019,0.000001,0.000010,0.000001,0.000026,0.000131
