algoritmo,size_mb,num_objects,avg_time_seconds,std_dev_seconds,throughput_mb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
BLAKE3,0.000976562,31,0.000004,0.000002,242.065,0.000019,0.000002,0.000015,0.000031
BLAKE3,0.00976562,31,0.000021,0.000083,465.672,0.000023,0.000002,0.000011,0.000001
BLAKE3,0.0488281,31,0.000015,0.000000,3289.58,0.000035,0.000002,0.000014,0.000001
BLAKE3,0.0976562,31,0.000025,0.000000,3838.35,0.000053,0.000002,0.000023,0.000007
BLAKE3,0.488281,31,0.000113,0.000002,4307.45,0.000173,0.000003,0.000052,0.000028
BLAKE3,0.976562,31,0.000222,0.000003,4405.05,0.000325,0.000003,0.000088,0.000057
BLAKE3,1,31,0.000233,0.000042,4292.47,0.000342,0.000033,0.000113,0.000124
BLAKE3,10,31,0.002231,0.000021,4483.12,0.003711,0.000144,0.001001,0.000221
BLAKE3,50,31,0.012055,0.000164,4147.78,0.019291,0.000353,0.009773,0.000167
BLAKE3,100,31,0.025080,0.001703,3987.32,0.038548,0.000583,0.018537,0.000391
BLAKE3,1000,31,0.251629,0.001071,3974.11,0.364411,0.004559,0.155539,0.001636
HMAC_SHA256,0.000976562,31,0.000006,0.000002,151.172,0.000019,0.000001,0.000016,0.000032
HMAC_SHA256,0.000976562,31,0.000008,0.000001,115.385,0.000020,0.000001,0.000016,0.000031
HMAC_SHA256,0.000976562,31,0.000009,0.000001,112.055,0.000020,0.000001,0.000016,0.000030
HMAC_SHA256,0.00976562,31,0.000011,0.000000,874.123,0.000022,0.000001,0.000011,0.000001
HMAC_SHA256,0.00976562,31,0.000014,0.000001,710.461,0.000023,0.000001,0.000012,0.000001
HMAC_SHA256,0.00976562,31,0.000014,0.000001,694.265,0.000024,0.000002,0.000012,0.000001
HMAC_SHA256,0.0488281,31,0.000034,0.000000,1442.17,0.000034,0.000001,0.000014,0.000001
HMAC_SHA256,0.0488281,31,0.000036,0.000000,1345.4,0.000034,0.000001,0.000014,0.000001
HMAC_SHA256,0.0488281,31,0.000038,0.000006,1296.92,0.000037,0.000002,0.000016,0.000001
HMAC_SHA256,0.0976562,31,0.000063,0.000002,1554,0.000053,0.000002,0.000023,0.000007
HMAC_SHA256,0.0976562,31,0.000065,0.000002,1500.73,0.000050,0.000002,0.000020,0.000001
HMAC_SHA256,0.0976562,31,0.000066,0.000003,1478.73,0.000054,0.000001,0.000023,0.000001
HMAC_SHA256,0.488281,31,0.000292,0.000006,1670.49,0.000179,0.000011,0.000056,0.000029
HMAC_SHA256,0.488281,31,0.000293,0.000003,1666.82,0.000174,0.000003,0.000051,0.000021
HMAC_SHA256,0.488281,31,0.000293,0.000003,1667.39,0.000175,0.000008,0.000052,0.000022
HMAC_SHA256,0.976562,31,0.000574,0.000004,1700.12,0.000325,0.000004,0.000087,0.000055
HMAC_SHA256,0.976562,31,0.000577,0.000004,1691.95,0.000324,0.000007,0.000101,0.000079
HMAC_SHA256,0.976562,31,0.000577,0.000003,1692.25,0.000321,0.000004,0.000099,0.000078
HMAC_SHA256,1,31,0.000590,0.000006,1694.75,0.000339,0.000030,0.000110,0.000122
HMAC_SHA256,10,31,0.005874,0.000079,1702.30,0.003735,0.000161,0.001018,0.000234
