algoritmo,size_mb,k_datos,m_paridad,num_objects,avg_encoding_s,std_encoding_s,avg_decoding_s,std_decoding_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
RS,0.000976562,4,2,31,0.000022,0.000013,0.000003,0.000001,0.000020,0.000002,0.000012,0.000002
RS,0.00976562,4,2,31,0.000030,0.000003,0.000003,0.000001,0.000023,0.000001,0.000011,0.000001
RS,0.0488281,4,2,31,0.000100,0.000155,0.000005,0.000004,0.000035,0.000002,0.000016,0.000006
RS,0.0976562,4,2,31,0.000125,0.000002,0.000006,0.000003,0.000051,0.000002,0.000020,0.000002
RS,0.488281,4,2,31,0.000557,0.000032,0.000035,0.000049,0.000174,0.000006,0.000052,0.000033
RS,0.976562,4,2,31,0.001107,0.000075,0.000096,0.000126,0.000328,0.000007,0.000117,0.000094
RS,1,4,2,31,0.001154,0.000118,0.000119,0.000120,0.000333,0.000019,0.000127,0.000115
RS,10,4,2,31,0.011805,0.000943,0.000952,0.000367,0.003850,0.000146,0.001202,0.000393
RS,50,4,2,31,0.059382,0.002063,0.006511,0.001243,0.019068,0.000360,0.008556,0.001639
RS,100,4,2,31,0.117686,0.005092,0.013251,0.002169,0.038304,0.000908,0.016840,0.002878
RS,1000,4,2,31,1.518518,0.058879,0.144163,0.125406,0.365519,0.003844,0.571100,0.078413
RS,0.000976562,8,4,31,0.000030,0.000002,0.000003,0.000001,0.000020,0.000001,0.000011,0.000001
RS,0.00976562,8,4,31,0.000049,0.000001,0.000003,0.000001,0.000024,0.000001,0.000011,0.000001
RS,0.0488281,8,4,31,0.000132,0.000002,0.000004,0.000001,0.000036,0.000001,0.000015,0.000002
RS,0.0976562,8,4,31,0.000236,0.000004,0.000006,0.000001,0.000051,0.000002,0.000021,0.000002
RS,0.488281,8,4,31,0.001074,0.000015,0.000025,0.000018,0.000175,0.000007,0.000046,0.000001
RS,0.976562,8,4,31,0.002117,0.000028,0.000070,0.000093,0.000328,0.000008,0.000083,0.000022
RS,1,8,4,31,0.002175,0.000052,0.000083,0.000092,0.000328,0.000004,0.000094,0.000060
RS,10,8,4,31,0.022548,0.001433,0.000919,0.000305,0.003902,0.000162,0.001250,0.000568
RS,50,8,4,31,0.112196,0.002180,0.006948,0.000839,0.019106,0.000349,0.009213,0.001181
RS,100,8,4,31,0.222728,0.002945,0.012467,0.001668,0.038289,0.000800,0.017432,0.002697
RS,1000,8,4,31,2.592170,0.008812,0.121023,0.001503,0.370274,0.002919,0.601072,0.041650
RS,0.000976562,10,4,31,0.000032,0.000002,0.000003,0.000000,0.000020,0.000001,0.000011,0.000001
RS,0.00976562,10,4,31,0.000053,0.000002,0.000003,0.000001,0.000024,0.000002,0.000012,0.000001
RS,0.0488281,10,4,31,0.000137,0.000005,0.000004,0.000000,0.000036,0.000005,0.000015,0.000001
RS,0.0976562,10,4,31,0.000240,0.000006,0.000006,0.000000,0.000051,0.000002,0.000021,0.000001
RS,0.488281,10,4,31,0.001073,0.000004,0.000020,0.000001,0.000173,0.000002,0.000047,0.000002
RS,0.976562,10,4,31,0.002129,0.000046,0.000102,0.000117,0.000330,0.000008,0.000092,0.000051
RS,1,10,4,31,0.002183,0.000041,0.000079,0.000088,0.000345,0.000090,0.000088,0.000033
RS,10,10,4,31,0.022031,0.000528,0.000936,0.000355,0.003838,0.000130,0.001068,0.000118
RS,50,10,4,31,0.110346,0.001200,0.007221,0.000153,0.019096,0.000290,0.009619,0.000168
RS,100,10,4,31,0.220545,0.002446,0.013298,0.001358,0.038741,0.000680,0.018539,0.001537
RS,1000,10,4,31,2.514774,0.007668,0.122474,0.002741,0.370432,0.002923,0.460090,0.035366
