algoritmo,size_mb,num_objects,avg_ratio,avg_comp_s,std_comp_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s,avg_decomp_s,std_decomp_s
BZ2,0.000976562,31,4.23x,0.000122,0.000009,0.000036,0.000005,0.000010,0.000003,0.000037,0.000039
BZ2,0.00976562,31,33.46x,0.001794,0.000016,0.000039,0.000002,0.000011,0.000002,0.000097,0.000008
BZ2,0.0488281,31,137.27x,0.007278,0.000048,0.000061,0.000005,0.000013,0.000001,0.000444,0.000011
BZ2,0.0976562,31,265.28x,0.014781,0.000118,0.000088,0.000006,0.000019,0.000002,0.000870,0.000027
BZ2,0.488281,31,1135.25x,0.087838,0.000621,0.000332,0.000012,0.000074,0.000012,0.004637,0.000249
BZ2,0.976562,31,1171.62x,0.219358,0.003128,0.000629,0.000050,0.000161,0.000018,0.010201,0.000467
BZ2,1,31,1191.56x,0.188870,0.001345,0.000577,0.000014,0.001303,0.006537,0.010212,0.006552
BZ2,10,31,1878.50x,2.049348,0.128766,0.009341,0.004181,0.001945,0.000135,0.091187,0.003442
BZ2,50,31,1917.59x,9.802571,0.010200,0.047918,0.003216,0.020332,0.000493,0.486121,0.003371
BZ2,100,31,1930.23x,19.643553,0.277027,0.096426,0.004304,0.039636,0.000363,0.976955,0.003674
BZ2,1000,31,1937.27x,200.445598,3.942908,0.925403,0.052524,0.406518,0.011973,9.717377,0.057019
LZ4,0.000976562,31,6.13x,0.000006,0.000003,0.000035,0.000007,0.000010,0.000003,0.000004,0.000002
LZ4,0.00976562,31,29.85x,0.000007,0.000001,0.000041,0.000002,0.000010,0.000002,0.000004,0.000001
LZ4,0.0488281,31,45.27x,0.000011,0.000008,0.000060,0.000007,0.000012,0.000001,0.000009,0.000001
LZ4,0.0976562,31,48.19x,0.000014,0.000005,0.000082,0.000003,0.000015,0.000003,0.000015,0.000001
LZ4,0.488281,31,62.85x,0.000061,0.000009,0.000286,0.000013,0.000068,0.000013,0.000079,0.000007
LZ4,0.976562,31,61.07x,0.000115,0.000003,0.000591,0.000053,0.000160,0.000022,0.000189,0.000027
LZ4,1,31,60.91x,0.000118,0.000005,0.000565,0.000077,0.001315,0.006544,0.001356,0.006532
LZ4,10,31,61.39x,0.001201,0.000046,0.007557,0.002386,0.002206,0.000436,0.002679,0.001381
LZ4,50,31,61.50x,0.006668,0.000069,0.028050,0.000632,0.021416,0.000510,0.035752,0.000523
LZ4,100,31,61.73x,0.012968,0.000136,0.079346,0.002727,0.041309,0.000356,0.070743,0.000497
LZ4,1000,31,61.66x,0.127286,0.002024,1.016941,0.274019,0.408422,0.014741,0.748469,0.011490
LZMA,0.000976562,31,5.12x,0.002714,0.001242,0.000037,0.000008,0.000013,0.000003,0.000263,0.000485
LZMA,0.00976562,31,43.39x,0.002457,0.000988,0.000047,0.000005,0.000013,0.000002,0.000222,0.000439
LZMA,0.0488281,31,191.04x,0.003817,0.001187,0.000067,0.000007,0.000015,0.000002,0.000371,0.000539
LZMA,0.0976562,31,365.71x,0.004486,0.001108,0.000096,0.000007,0.000020,0.000003,0.000329,0.000503
LZMA,0.488281,31,1523.81x,0.012809,0.001356,0.000326,0.000049,0.000081,0.000016,0.000623,0.000595
LZMA,0.976562,31,2509.80x,0.024908,0.001605,0.000680,0.000131,0.000179,0.000034,0.001256,0.000759
LZMA,1,31,2545.09x,0.022068,0.001090,0.000610,0.000024,0.001337,0.006538,0.001748,0.006499
LZMA,10,31,5851.43x,0.193906,0.001604,0.005627,0.000152,0.002163,0.000651,0.005023,0.000331
LZMA,50,31,6643.28x,0.899605,0.001592,0.028297,0.002480,0.021151,0.000416,0.049013,0.003554
LZMA,100,31,6758.03x,1.777177,0.001694,0.085087,0.006236,0.040644,0.000588,0.090351,0.002810
LZMA,1000,31,6862.95x,17.584714,0.033049,0.945207,0.008875,0.407261,0.011742,1.056835,0.011802
ZLIB,0.000976562,31,7.70x,0.000048,0.000007,0.000037,0.000008,0.000010,0.000003,0.000007,0.000001
ZLIB,0.00976562,31,49.00x,0.000072,0.000004,0.000040,0.000003,0.000010,0.000001,0.000014,0.000009
ZLIB,0.0488281,31,102.61x,0.000188,0.000016,0.000057,0.000003,0.000017,0.000017,0.000042,0.000004
ZLIB,0.0976562,31,121.62x,0.000362,0.000018,0.000084,0.000006,0.000022,0.000010,0.000086,0.000013
ZLIB,0.488281,31,145.17x,0.001871,0.000078,0.000300,0.000019,0.000108,0.000056,0.000391,0.000064
ZLIB,0.976562,31,148.75x,0.003813,0.000164,0.000591,0.000019,0.000182,0.000056,0.000790,0.000104
ZLIB,1,31,148.86x,0.003851,0.000121,0.000616,0.000050,0.000170,0.000047,0.000815,0.000126
ZLIB,10,31,154.49x,0.038778,0.000986,0.005684,0.000173,0.002265,0.000580,0.008291,0.001560
ZLIB,50,31,158.47x,0.194226,0.004018,0.029178,0.004267,0.021022,0.000526,0.059229,0.002309
ZLIB,100,31,158.75x,0.390573,0.017960,0.078222,0.004201,0.040831,0.000400,0.120887,0.000395
ZLIB,1000,31,159.01x,3.868568,0.008910,1.476528,1.075322,0.410128,0.014501,1.294297,0.009949
ZSTD,0.000976562,31,7.94x,0.000014,0.000006,0.000035,0.000005,0.000009,0.000002,0.000008,0.000002
ZSTD,0.00976562,31,40.00x,0.000020,0.000002,0.000041,0.000004,0.000010,0.000000,0.000009,0.000000
ZSTD,0.0488281,31,83.52x,0.000034,0.000007,0.000059,0.000003,0.000012,0.000001,0.000013,0.000001
ZSTD,0.0976562,31,94.29x,0.000051,0.000006,0.000083,0.000004,0.000016,0.000001,0.000018,0.000001
