algoritmo,size_mb,num_objects,avg_time_seconds,std_dev_seconds,throughput_mb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
BLAKE3,0.000976562,31,0.000007,0.000003,139.524,0.000034,0.000004,0.000016,0.000032
BLAKE3,0.00976562,31,0.000010,0.000002,950.42,0.000040,0.000004,0.000010,0.000001
BLAKE3,0.0488281,31,0.000020,0.000001,2493.87,0.000058,0.000002,0.000013,0.000001
BLAKE3,0.0976562,31,0.000031,0.000001,3101.4,0.000082,0.000003,0.000019,0.000007
BLAKE3,0.488281,31,0.000131,0.000002,3736.03,0.000283,0.000011,0.000077,0.000020
BLAKE3,0.976562,31,0.000252,0.000006,3879.26,0.000541,0.000012,0.000166,0.000037
BLAKE3,1,31,0.000585,0.000196,1709.11,0.001107,0.000348,0.001440,0.006942
BLAKE3,10,31,0.002795,0.000027,3577.94,0.005676,0.000092,0.001856,0.000277
BLAKE3,50,31,0.014357,0.000341,3482.60,0.071740,0.151444,0.023548,0.000719
BLAKE3,100,31,0.028428,0.000060,3517.64,0.090358,0.005541,0.045916,0.001152
BLAKE3,1000,31,0.280774,0.004691,3561.59,1.619174,1.953165,0.411408,0.009559
HMAC_SHA256,0.000976562,31,0.000009,0.000004,105.998,0.000037,0.000004,0.000016,0.000032
HMAC_SHA256,0.00976562,31,0.000014,0.000001,680.371,0.000040,0.000003,0.000010,0.000001
HMAC_SHA256,0.0488281,31,0.000036,0.000001,1365.11,0.000060,0.000008,0.000014,0.000002
HMAC_SHA256,0.0976562,31,0.000063,0.000002,1545.24,0.000081,0.000005,0.000020,0.000006
HMAC_SHA256,0.488281,31,0.000280,0.000004,1745.49,0.000270,0.000007,0.000074,0.000021
HMAC_SHA256,0.976562,31,0.000553,0.000005,1767.5,0.000538,0.000013,0.000166,0.000036
HMAC_SHA256,1,31,0.000559,0.000004,1788.85,0.000515,0.000034,0.001416,0.007010
HMAC_SHA256,10,31,0.005505,0.000284,1816.58,0.006053,0.000178,0.002188,0.000245
HMAC_SHA256,50,31,0.026674,0.000056,1874.51,0.374411,0.139811,0.024024,0.000353
HMAC_SHA256,100,31,0.053352,0.000242,1874.33,0.243174,0.273217,0.045367,0.000628
HMAC_SHA256,1000,31,0.532527,0.000629,1877.84,2.277914,2.742050,0.413566,0.008918
SHA256,0.000976562,31,0.000006,0.000003,174.356,0.000036,0.000006,0.000012,0.000005
SHA256,0.00976562,31,0.000011,0.000000,870.892,0.000040,0.000005,0.000010,0.000000
SHA256,0.0488281,31,0.000032,0.000001,1520.03,0.000059,0.000003,0.000014,0.000005
SHA256,0.0976562,31,0.000059,0.000002,1652.71,0.000082,0.000005,0.000020,0.000007
SHA256,0.488281,31,0.000273,0.000004,1788.02,0.000272,0.000013,0.000084,0.000043
SHA256,0.976562,31,0.000542,0.000004,1801.98,0.000543,0.000021,0.000185,0.000084
SHA256,1,31,0.000555,0.000013,1801.59,0.000580,0.000098,0.000231,0.000195
SHA256,10,31,0.005442,0.000023,1837.51,0.006125,0.000308,0.002369,0.000695
SHA256,50,31,0.026685,0.000062,1873.68,0.358632,0.160373,0.023787,0.000326
SHA256,100,31,0.053305,0.000279,1876.00,0.270477,0.323759,0.045249,0.000550
SHA256,1000,31,0.532055,0.000415,1879.50,2.242882,2.660695,0.412902,0.008993
SHA3_256,0.000976562,31,0.000008,0.000004,123.892,0.000036,0.000005,0.000015,0.000032
SHA3_256,0.00976562,31,0.000028,0.000001,350.559,0.000040,0.000002,0.000010,0.000002
SHA3_256,0.0488281,31,0.000117,0.000006,417.664,0.000059,0.000003,0.000013,0.000001
SHA3_256,0.0976562,31,0.000228,0.000004,428.373,0.000081,0.000004,0.000019,0.000006
SHA3_256,0.488281,31,0.001112,0.000015,439.118,0.000273,0.000012,0.000073,0.000020
SHA3_256,0.976562,31,0.002212,0.000037,441.405,0.000545,0.000016,0.000165,0.000037
SHA3_256,1,31,0.002223,0.000038,449.79,0.000516,0.000034,0.001423,0.007041
SHA3_256,10,31,0.022056,0.000268,453.40,0.005659,0.000132,0.001967,0.000338
SHA3_256,50,31,0.109699,0.000874,455.79,0.032814,0.007661,0.022772,0.000827
SHA3_256,100,31,0.219809,0.001634,454.94,0.575895,0.327331,0.045297,0.000513
SHA3_256,1000,31,2.195352,0.010488,455.51,2.254090,2.307717,0.414039,0.008888
