algorithm,size_mb,key_bits,num_objects,avg_encryption_s,std_encryption_s,avg_decryption_s,std_decryption_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
AES,0.000976562,128,31,0.000012,0.000009,0.000011,0.000003,0.000013,0.000002,0.000009,0.000001
AES,0.00976562,128,31,0.000058,0.000007,0.000060,0.000006,0.000013,0.000001,0.000010,0.000002
AES,0.0488281,128,31,0.000270,0.000012,0.000275,0.000014,0.000018,0.000002,0.000013,0.000001
AES,0.0976562,128,31,0.000532,0.000014,0.000545,0.000010,0.000023,0.000001,0.000017,0.000001
AES,0.488281,128,31,0.002759,0.000048,0.002813,0.000052,0.000113,0.000023,0.000103,0.000025
AES,0.976562,128,31,0.005523,0.000068,0.005591,0.000073,0.000255,0.000037,0.000279,0.000054
AES,0.000976562,256,31,0.000011,0.000000,0.000012,0.000000,0.000012,0.000001,0.000009,0.000000
AES,0.00976562,256,31,0.000073,0.000001,0.000075,0.000000,0.000013,0.000002,0.000010,0.000000
AES,0.0488281,256,31,0.000348,0.000006,0.000354,0.000005,0.000018,0.000001,0.000013,0.000000
AES,0.0976562,256,31,0.000691,0.000011,0.000710,0.000010,0.000024,0.000001,0.000017,0.000002
AES,0.488281,256,31,0.003580,0.000041,0.003652,0.000063,0.000111,0.000022,0.000100,0.000013
AES,0.976562,256,31,0.007102,0.000083,0.007238,0.000086,0.000255,0.000033,0.000262,0.000037
CHACHA20,0.000976562,256,31,0.000010,0.000012,0.000007,0.000001,0.000012,0.000003,0.000011,0.000013
CHACHA20,0.00976562,256,31,0.000043,0.000006,0.000041,0.000001,0.000013,0.000001,0.000010,0.000000
CHACHA20,0.0488281,256,31,0.000193,0.000006,0.000191,0.000001,0.000018,0.000001,0.000013,0.000000
CHACHA20,0.0976562,256,31,0.000383,0.000010,0.000379,0.000007,0.000023,0.000001,0.000016,0.000000
CHACHA20,0.488281,256,31,0.001973,0.000027,0.001934,0.000021,0.000119,0.000018,0.000090,0.000008
CHACHA20,0.976562,256,31,0.004007,0.000044,0.003889,0.000038,0.000263,0.000029,0.000262,0.000034
