algoritmo,size_mb,num_objects,avg_time_seconds,std_dev_seconds,throughput_mb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
BLAKE3,0.000976562,31,0.000006,0.000003,176.615,0.000013,0.000003,0.000012,0.000018
BLAKE3,0.00976562,31,0.000026,0.000003,377.105,0.000013,0.000002,0.000010,0.000000
BLAKE3,0.0488281,31,0.000116,0.000004,419.904,0.000018,0.000001,0.000013,0.000001
BLAKE3,0.0976562,31,0.000231,0.000008,423.606,0.000023,0.000001,0.000017,0.000004
BLAKE3,0.488281,31,0.001145,0.000008,426.581,0.000098,0.000008,0.000071,0.000022
BLAKE3,0.976562,31,0.002301,0.000021,424.475,0.000275,0.000025,0.000227,0.000026
HMAC_SHA256,0.000976562,31,0.000010,0.000008,102.328,0.000013,0.000003,0.000012,0.000018
HMAC_SHA256,0.00976562,31,0.000014,0.000001,685.188,0.000013,0.000001,0.000010,0.000000
HMAC_SHA256,0.0488281,31,0.000042,0.000001,1170.06,0.000018,0.000001,0.000013,0.000000
HMAC_SHA256,0.0976562,31,0.000076,0.000001,1290.55,0.000023,0.000001,0.000017,0.000004
HMAC_SHA256,0.488281,31,0.000353,0.000001,1382.31,0.000097,0.000008,0.000070,0.000023
HMAC_SHA256,0.976562,31,0.000700,0.000006,1394.14,0.000258,0.000019,0.000219,0.000026
SHA256,0.000976562,31,0.000006,0.000007,169.639,0.000013,0.000002,0.000009,0.000001
SHA256,0.00976562,31,0.000011,0.000001,926.694,0.000013,0.000001,0.000010,0.000000
SHA256,0.0488281,31,0.000037,0.000001,1313.92,0.000019,0.000002,0.000013,0.000002
SHA256,0.0976562,31,0.000071,0.000001,1374.96,0.000024,0.000002,0.000017,0.000004
SHA256,0.488281,31,0.000345,0.000006,1417.16,0.000094,0.000007,0.000069,0.000028
SHA256,0.976562,31,0.000687,0.000005,1420.6,0.000261,0.000021,0.000231,0.000051
SHA3_256,0.000976562,31,0.000008,0.000007,118.163,0.000013,0.000003,0.000013,0.000021
SHA3_256,0.00976562,31,0.000038,0.000001,260.197,0.000013,0.000001,0.000010,0.000000
SHA3_256,0.0488281,31,0.000173,0.000005,282.553,0.000018,0.000001,0.000013,0.000001
SHA3_256,0.0976562,31,0.000341,0.000005,286.427,0.000023,0.000001,0.000017,0.000004
SHA3_256,0.488281,31,0.001695,0.000003,288.034,0.000093,0.000008,0.000067,0.000023
SHA3_256,0.976562,31,0.003375,0.000004,289.39,0.000260,0.000016,0.000219,0.000024
