algorithm,size_mb,key_bits,num_objects,avg_encryption_s,std_encryption_s,avg_decryption_s,std_decryption_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
AES,0.000976562,128,31,0.000011,0.000008,0.000011,0.000002,0.000011,0.000001,0.000008,0.000001
AES,0.00976562,128,31,0.000058,0.000007,0.000058,0.000001,0.000012,0.000004,0.000009,0.000001
AES,0.0488281,128,31,0.000267,0.000009,0.000272,0.000003,0.000016,0.000001,0.000012,0.000001
AES,0.0976562,128,31,0.000529,0.000013,0.000544,0.000010,0.000021,0.000001,0.000016,0.000001
AES,0.488281,128,31,0.002742,0.000035,0.002804,0.000044,0.000099,0.000022,0.000103,0.000020
AES,0.976562,128,31,0.005473,0.000055,0.005578,0.000068,0.000211,0.000039,0.000297,0.000039
AES,1,128,31,0.006015,0.000122,0.006162,0.000149,0.000249,0.000037,0.000322,0.000062
AES,10,128,31,0.060832,0.005296,0.063389,0.002207,0.003384,0.000141,0.003113,0.000210
AES,50,128,31,0.300372,0.003263,0.320683,0.004766,0.016432,0.000892,0.017590,0.000481
AES,100,128,31,0.591529,0.003834,0.630306,0.004257,0.030362,0.000910,0.033151,0.001307
AES,1000,128,31,5.832497,0.018119,6.221154,0.021299,0.298175,0.004479,0.317207,0.005187
AES,0.000976562,256,31,0.000011,0.000000,0.000012,0.000000,0.000011,0.000001,0.000008,0.000000
AES,0.00976562,256,31,0.000072,0.000000,0.000077,0.000011,0.000011,0.000001,0.000009,0.000000
AES,0.0488281,256,31,0.000347,0.000010,0.000353,0.000003,0.000016,0.000001,0.000012,0.000000
AES,0.0976562,256,31,0.000684,0.000002,0.000710,0.000010,0.000021,0.000001,0.000016,0.000002
AES,0.488281,256,31,0.003554,0.000077,0.003825,0.000734,0.000099,0.000044,0.000110,0.000049
AES,0.976562,256,31,0.007033,0.000032,0.007209,0.000076,0.000227,0.000037,0.000266,0.000033
AES,1,256,31,0.007836,0.000250,0.007993,0.000115,0.000235,0.000028,0.000335,0.000050
AES,10,256,31,0.076326,0.001646,0.080472,0.002381,0.003350,0.000046,0.003098,0.000183
AES,50,256,31,0.379960,0.003687,0.402141,0.002593,0.016023,0.000567,0.017510,0.000443
AES,100,256,31,0.750359,0.003929,0.797584,0.005055,0.030368,0.000623,0.033228,0.001223
AES,1000,256,31,7.429952,0.014682,7.873609,0.011753,0.299118,0.004169,0.319433,0.001709
CHACHA20,0.000976562,256,31,0.000010,0.000012,0.000007,0.000001,0.000011,0.000003,0.000010,0.000012
CHACHA20,0.00976562,256,31,0.000042,0.000006,0.000040,0.000000,0.000011,0.000001,0.000009,0.000000
CHACHA20,0.0488281,256,31,0.000195,0.000010,0.000192,0.000008,0.000017,0.000003,0.000012,0.000001
CHACHA20,0.0976562,256,31,0.000383,0.000011,0.000377,0.000002,0.000021,0.000002,0.000016,0.000001
CHACHA20,0.488281,256,31,0.001967,0.000031,0.001928,0.000014,0.000114,0.000023,0.000095,0.000011
CHACHA20,0.976562,256,31,0.003993,0.000045,0.003876,0.000031,0.000260,0.000021,0.000241,0.000030
CHACHA20,1,256,31,0.004137,0.000051,0.004005,0.000049,0.000256,0.000047,0.000977,0.004226
CHACHA20,10,256,31,0.041766,0.000318,0.041549,0.000206,0.002934,0.000131,0.002750,0.000177
CHACHA20,50,256,31,0.214490,0.001219,0.214197,0.000957,0.015587,0.000668,0.016200,0.000575
CHACHA20,100,256,31,0.431072,0.001746,0.431801,0.002331,0.031060,0.001026,0.033890,0.001306
CHACHA20,1000,256,31,4.278766,0.005078,4.275890,0.004042,0.306795,0.006083,0.319970,0.004701
