algoritmo,size_mb,num_objects,avg_ratio,avg_comp_s,std_comp_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s,avg_decomp_s,std_decomp_s
BZ2,0.000976562,31,4.23x,0.000178,0.000017,0.000011,0.000002,0.000012,0.000019,0.000034,0.000006
BZ2,0.00976562,31,33.46x,0.003049,0.000016,0.000012,0.000001,0.000010,0.000000,0.000117,0.000005
BZ2,0.0488281,31,137.27x,0.013796,0.000854,0.000019,0.000002,0.000013,0.000000,0.000542,0.000008
BZ2,0.0976562,31,265.28x,0.028331,0.000191,0.000034,0.000013,0.000022,0.000002,0.001015,0.000026
BZ2,0.488281,31,1135.25x,0.193421,0.006477,0.000205,0.000032,0.000135,0.000025,0.006496,0.000382
BZ2,0.976562,31,1171.62x,0.586128,0.003735,0.000335,0.000042,0.000322,0.000038,0.015510,0.000240
BZ2,1,31,1191.56x,0.616038,0.004268,0.000375,0.000024,0.001072,0.004116,0.016492,0.004049
BZ2,10,31,1878.50x,6.555685,0.055223,0.003410,0.000163,0.003057,0.000169,0.160256,0.002328
BZ2,50,31,1917.59x,34.593073,0.366140,0.016685,0.000787,0.017846,0.000388,0.855427,0.013117
BZ2,100,31,1930.23x,70.616970,0.282665,0.031223,0.001407,0.033413,0.000996,1.757350,0.010983
BZ2,1000,31,1937.27x,709.355476,3.258332,0.307729,0.003479,0.326107,0.004197,17.206112,0.100162
LZ4,0.000976562,31,6.13x,0.000004,0.000006,0.000011,0.000003,0.000009,0.000001,0.000002,0.000001
LZ4,0.00976562,31,29.85x,0.000005,0.000000,0.000011,0.000001,0.000009,0.000002,0.000004,0.000001
LZ4,0.0488281,31,45.27x,0.000014,0.000000,0.000016,0.000001,0.000012,0.000002,0.000012,0.000003
LZ4,0.0976562,31,48.19x,0.000027,0.000001,0.000020,0.000001,0.000016,0.000000,0.000021,0.000002
LZ4,0.488281,31,62.85x,0.000115,0.000004,0.000118,0.000020,0.000083,0.000018,0.000125,0.000016
LZ4,0.976562,31,61.07x,0.000225,0.000005,0.000290,0.000049,0.000284,0.000037,0.000336,0.000030
LZ4,1,31,60.91x,0.000234,0.000005,0.000315,0.000069,0.000995,0.004174,0.001090,0.004063
LZ4,10,31,61.39x,0.002272,0.000023,0.003258,0.000195,0.003049,0.000299,0.004772,0.000352
