algoritmo,size_mb,num_objects,avg_time_seconds,std_dev_seconds,throughput_mb_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
BLAKE3,0.000976562,31,0.000005,0.000003,181.36,0.000011,0.000002,0.000011,0.000015
BLAKE3,0.00976562,31,0.000026,0.000004,376.969,0.000011,0.000001,0.000009,0.000000
BLAKE3,0.0488281,31,0.000116,0.000001,422.45,0.000016,0.000001,0.000012,0.000001
BLAKE3,0.0976562,31,0.000228,0.000001,427.56,0.000020,0.000001,0.000016,0.000003
BLAKE3,0.488281,31,0.001145,0.000016,426.492,0.000083,0.000020,0.000068,0.000022
BLAKE3,0.976562,31,0.002290,0.000007,426.372,0.000243,0.000018,0.000232,0.000044
BLAKE3,1,31,0.002376,0.000031,420.80,0.000224,0.000050,0.000946,0.004051
BLAKE3,10,31,0.023668,0.000349,422.51,0.002699,0.000107,0.002669,0.000111
BLAKE3,50,31,0.116788,0.000038,428.12,0.014983,0.000386,0.016410,0.000560
BLAKE3,100,31,0.233411,0.000064,428.43,0.030321,0.000488,0.035039,0.000302
BLAKE3,1000,31,2.333784,0.000286,428.49,0.303180,0.005360,0.320032,0.005118
HMAC_SHA256,0.000976562,31,0.000009,0.000008,109.166,0.000011,0.000003,0.000011,0.000016
HMAC_SHA256,0.00976562,31,0.000014,0.000002,714.246,0.000012,0.000001,0.000009,0.000000
HMAC_SHA256,0.0488281,31,0.000041,0.000001,1190.98,0.000016,0.000001,0.000012,0.000001
HMAC_SHA256,0.0976562,31,0.000076,0.000003,1281.19,0.000021,0.000002,0.000017,0.000003
HMAC_SHA256,0.488281,31,0.000355,0.000005,1375.07,0.000084,0.000009,0.000077,0.000018
HMAC_SHA256,0.976562,31,0.000701,0.000007,1392.75,0.000238,0.000020,0.000225,0.000042
HMAC_SHA256,1,31,0.000716,0.000012,1396.11,0.000224,0.000051,0.000932,0.003982
HMAC_SHA256,10,31,0.006884,0.000010,1452.56,0.002703,0.000121,0.002675,0.000124
HMAC_SHA256,50,31,0.034256,0.000022,1459.60,0.015065,0.000542,0.016178,0.000670
HMAC_SHA256,100,31,0.068441,0.000025,1461.11,0.030903,0.000880,0.034737,0.000554
HMAC_SHA256,1000,31,0.683737,0.000152,1462.55,0.304165,0.005784,0.319605,0.004970
SHA256,0.000976562,31,0.000005,0.000006,208.464,0.000011,0.000002,0.000008,0.000001
SHA256,0.00976562,31,0.000010,0.000002,971.271,0.000011,0.000001,0.000009,0.000000
SHA256,0.0488281,31,0.000037,0.000000,1317.76,0.000016,0.000002,0.000012,0.000001
SHA256,0.0976562,31,0.000071,0.000000,1382.48,0.000020,0.000001,0.000016,0.000004
SHA256,0.488281,31,0.000350,0.000010,1394.87,0.000082,0.000020,0.000075,0.000026
SHA256,0.976562,31,0.000687,0.000006,1420.64,0.000234,0.000023,0.000239,0.000067
SHA256,1,31,0.000706,0.000010,1416.07,0.000246,0.000020,0.000269,0.000076
SHA256,10,31,0.006866,0.000010,1456.51,0.003079,0.000152,0.002984,0.000210
SHA256,50,31,0.034240,0.000024,1460.27,0.018006,0.000261,0.018512,0.000237
SHA256,100,31,0.068411,0.000027,1461.76,0.035388,0.000286,0.035531,0.000598
SHA256,1000,31,0.683735,0.000130,1462.56,0.308249,0.006645,0.320773,0.005702
SHA3_256,0.000976562,31,0.000008,0.000007,122.491,0.000011,0.000003,0.000011,0.000015
SHA3_256,0.00976562,31,0.000037,0.000000,261.759,0.000011,0.000001,0.000010,0.000003
SHA3_256,0.0488281,31,0.000172,0.000000,284.407,0.000016,0.000001,0.000012,0.000001
SHA3_256,0.0976562,31,0.000340,0.000005,286.862,0.000020,0.000001,0.000016,0.000003
SHA3_256,0.488281,31,0.001688,0.000004,289.3,0.000079,0.000007,0.000072,0.000017
SHA3_256,0.976562,31,0.003378,0.000007,289.072,0.000238,0.000014,0.000227,0.000044
SHA3_256,1,31,0.003460,0.000014,289.06,0.000220,0.000044,0.000955,0.004112
SHA3_256,10,31,0.034357,0.000013,291.06,0.002705,0.000124,0.002673,0.000095
SHA3_256,50,31,0.171683,0.000028,291.23,0.014886,0.000569,0.016287,0.000736
SHA3_256,100,31,0.343315,0.000040,291.28,0.030998,0.001274,0.035068,0.000785
SHA3_256,1000,31,3.433032,0.000164,291.29,0.309928,0.007704,0.320293,0.004923
