algoritmo,size_mb,k_datos,m_paridad,num_objects,avg_encoding_s,std_encoding_s,avg_decoding_s,std_decoding_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
RS,0.000976562,4,2,31,0.000022,0.000019,0.000002,0.000001,0.000011,0.000001,0.000009,0.000001
RS,0.00976562,4,2,31,0.000030,0.000001,0.000003,0.000000,0.000012,0.000001,0.000009,0.000000
RS,0.0488281,4,2,31,0.000074,0.000003,0.000006,0.000003,0.000017,0.000002,0.000013,0.000003
RS,0.0976562,4,2,31,0.000130,0.000004,0.000013,0.000007,0.000021,0.000002,0.000018,0.000003
RS,0.488281,4,2,31,0.000666,0.000054,0.000117,0.000035,0.000099,0.000017,0.000103,0.000026
RS,0.976562,4,2,31,0.001255,0.000028,0.000245,0.000042,0.000228,0.000035,0.000308,0.000049
RS,1,4,2,31,0.001359,0.000067,0.000279,0.000028,0.000244,0.000016,0.000329,0.000053
RS,10,4,2,31,0.013954,0.000375,0.002645,0.000269,0.003373,0.000264,0.003442,0.000196
RS,50,4,2,31,0.070580,0.002054,0.015203,0.001442,0.017566,0.000932,0.017700,0.001117
RS,100,4,2,31,0.139735,0.003437,0.031457,0.003376,0.033337,0.002621,0.034999,0.001792
RS,1000,4,2,31,1.456735,0.004493,0.291751,0.002981,0.313204,0.004446,0.324465,0.006552
RS,0.000976562,8,4,31,0.000033,0.000002,0.000002,0.000000,0.000012,0.000001,0.000009,0.000000
RS,0.00976562,8,4,31,0.000054,0.000002,0.000003,0.000000,0.000012,0.000000,0.000009,0.000000
RS,0.0488281,8,4,31,0.000141,0.000002,0.000006,0.000003,0.000017,0.000001,0.000013,0.000000
RS,0.0976562,8,4,31,0.000252,0.000009,0.000014,0.000007,0.000023,0.000003,0.000018,0.000004
RS,0.488281,8,4,31,0.001457,0.000019,0.000114,0.000019,0.000113,0.000014,0.000102,0.000012
RS,0.976562,8,4,31,0.002313,0.000029,0.000225,0.000039,0.000225,0.000019,0.000293,0.000031
RS,1,8,4,31,0.002444,0.000029,0.000291,0.000037,0.000257,0.000026,0.000322,0.000042
RS,10,8,4,31,0.024558,0.000129,0.002600,0.000185,0.003127,0.000098,0.003081,0.000174
RS,50,8,4,31,0.123384,0.002182,0.016362,0.001496,0.017411,0.001337,0.018501,0.001518
RS,100,8,4,31,0.245171,0.001620,0.034099,0.002174,0.034229,0.001936,0.038400,0.002400
RS,1000,8,4,31,2.536591,0.008182,0.292178,0.002107,0.316683,0.003063,0.327519,0.002883
RS,0.000976562,10,4,31,0.000038,0.000002,0.000002,0.000000,0.000014,0.000013,0.000009,0.000001
RS,0.00976562,10,4,31,0.000059,0.000002,0.000003,0.000000,0.000012,0.000001,0.000009,0.000000
RS,0.0488281,10,4,31,0.000146,0.000003,0.000006,0.000000,0.000017,0.000002,0.000013,0.000002
RS,0.0976562,10,4,31,0.000258,0.000003,0.000014,0.000007,0.000023,0.000002,0.000018,0.000005
RS,0.488281,10,4,31,0.001186,0.000015,0.000110,0.000024,0.000104,0.000016,0.000103,0.000015
RS,0.976562,10,4,31,0.002330,0.000022,0.000224,0.000037,0.000229,0.000014,0.000289,0.000035
RS,1,10,4,31,0.002418,0.000017,0.000246,0.000036,0.000273,0.000023,0.000343,0.000033
RS,10,10,4,31,0.024487,0.000156,0.002654,0.000160,0.003231,0.000143,0.003253,0.000268
RS,50,10,4,31,0.122734,0.001663,0.016957,0.001604,0.017553,0.001229,0.018742,0.001128
RS,100,10,4,31,0.244865,0.001574,0.036420,0.002188,0.034188,0.001052,0.039740,0.001775
RS,1000,10,4,31,2.523444,0.004343,0.292839,0.001922,0.316812,0.003931,0.328564,0.001874
